object_name,kepler_name,disposition,koi_pdisposition,orbital_period,transit_depth,planet_radius,koi_teq,koi_insol,stellar_teff,stellar_radius,koi_smass,koi_slogg,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,impact_parameter,transit_duration,koi_ingress,koi_dor,source,tid,toipfx,st_tmag,st_logg,st_dist,toi_created,ra,dec,pl_name,pl_letter,pl_eqt,st_mass
K01560.01,,CANDIDATE,CANDIDATE,31.56904354,4229.4,11.18,575.0,25.83,5654.0,0.998,0.886,4.387,1.0,42.0,26.185051,113.60447,0.985,2.6364,,45.3,Kepler,,,,,,,,,,,,
K01561.01,,FALSE POSITIVE,FALSE POSITIVE,9.08590495,2121.3,6.28,861.0,130.1,5931.0,0.866,0.825,4.479,1.0,99.0,10.990618,50.46327,0.978,2.0718,,14.31,Kepler,,,,,,,,,,,,
K01562.01,,FALSE POSITIVE,FALSE POSITIVE,0.784512952,586.0,25.48,1952.0,3432.93,5997.0,0.904,0.991,4.522,2.0,1441.0,4.0414243,15.3658285,1.234,2.4623,,1.381,Kepler,,,,,,,,,,,,
K01610.01,,FALSE POSITIVE,FALSE POSITIVE,0.883778461,120.1,1.09,1934.0,3316.4,5975.0,0.949,0.935,4.453,1.0,1514.0,3.293414,23.7931,0.605,1.6339,,3.43,Kepler,,,,,,,,,,,,
K01612.01,Kepler-408 b,CONFIRMED,CANDIDATE,2.465024332,30.7,0.69,1561.0,1406.11,6139.0,1.194,1.016,4.291,1.0,426.0,4.6253843,21.635609,0.548,1.262,,12.6,Kepler,,,,,,,,,,,,
K01613.01,Kepler-907 b,CONFIRMED,CANDIDATE,15.86624787,77.3,1.31,879.0,141.18,6099.0,1.308,0.974,4.193,3.0,68.0,5.5587177,21.97962,0.858,4.25,,15.2,Kepler,,,,,,,,,,,,
K00021.01,,FALSE POSITIVE,FALSE POSITIVE,4.288515468,3456.7,76.51,1722.0,2081.57,6378.0,2.002,1.104,3.878,1.0,313.0,50.98444,563.29205,1.283,2.2959,,6.14,Kepler,,,,,,,,,,,,
K00188.01,Kepler-425 b,CONFIRMED,CANDIDATE,3.797018259,14431.2,10.07,982.0,219.64,5167.0,0.848,0.883,4.527,1.0,356.0,140.05356,1567.476,0.321,2.2608,,13.635,Kepler,,,,,,,,,,,,
K01615.01,Kepler-908 b,CONFIRMED,CANDIDATE,1.340596782,107.5,1.16,1783.0,2393.35,5992.0,1.125,1.122,4.385,1.0,801.0,7.200995,45.450558,0.007,1.6484,,6.299,Kepler,,,,,,,,,,,,
K01724.01,Kepler-941 b,CONFIRMED,CANDIDATE,17.42393582,770.9,3.29,722.0,64.13,6018.0,0.969,0.986,4.46,1.0,66.0,6.134604,29.249092,0.927,4.929,,12.22,Kepler,,,,,,,,,,,,
K01725.01,Kepler-1651 b,CONFIRMED,CANDIDATE,9.8786461,1472.7,1.6,393.0,5.65,3609.0,0.422,0.452,4.843,1.0,57.0,22.225523,73.38995,0.019,1.8915,,41.282,Kepler,,,,,,,,,,,,
K01726.01,Kepler-942 b,CONFIRMED,CANDIDATE,44.96407458,811.6,2.0,379.0,4.89,4827.0,0.729,0.817,4.615,1.0,30.0,18.68955,71.70658,0.11,4.981,,70.29,Kepler,,,,,,,,,,,,
K01727.01,Kepler-943 b,CONFIRMED,CANDIDATE,49.7700907,3529.2,5.12,455.0,10.16,5774.0,0.818,0.907,4.567,1.0,21.0,25.894827,88.690445,0.655,10.065,,31.4,Kepler,,,,,,,,,,,,
K01728.01,,FALSE POSITIVE,FALSE POSITIVE,12.7319385,11449.0,70.11,1145.0,405.75,7238.0,1.568,1.491,4.221,1.0,109.0,88.845825,592.3904,1.278,4.4157,,13.17,Kepler,,,,,,,,,,,,
K01497.01,,FALSE POSITIVE,FALSE POSITIVE,0.520222869,269.5,1.52,2145.0,5038.49,5776.0,0.889,0.97,4.527,1.0,2497.0,3.6876688,11.872462,0.562,1.2216,,2.852,Kepler,,,,,,,,,,,,
K01498.01,Kepler-864 b,CONFIRMED,CANDIDATE,5.83376197,532.9,2.98,1143.0,403.49,6213.0,1.195,1.27,4.387,2.0,234.0,5.3781757,30.119083,0.742,3.9988,,7.89,Kepler,,,,,,,,,,,,
K01498.02,Kepler-864 c,CONFIRMED,CANDIDATE,2.42150341,171.5,1.62,1532.0,1305.04,6213.0,1.195,1.27,4.387,2.0,511.0,3.1100724,13.30873,0.55,2.965,,5.35,Kepler,,,,,,,,,,,,
K01499.01,Kepler-865 b,CONFIRMED,CANDIDATE,14.16400071,728.1,2.35,694.0,54.95,5440.0,0.885,0.782,4.438,3.0,90.0,9.7634325,58.517822,0.027,4.3031,,25.755,Kepler,,,,,,,,,,,,
K01499.02,,CANDIDATE,CANDIDATE,0.840594032,49.8,0.62,1780.0,2368.31,5440.0,0.885,0.782,4.438,3.0,1469.0,4.1868987,8.393401,0.018,1.404,,4.639,Kepler,,,,,,,,,,,,
K01499.03,Kepler-865 c,CONFIRMED,CANDIDATE,6.20920207,101.9,0.89,914.0,164.98,5440.0,0.885,0.782,4.438,3.0,208.0,8.336403,10.959013,0.272,2.637,,17.49,Kepler,,,,,,,,,,,,
K01563.01,Kepler-305 b,CONFIRMED,CANDIDATE,5.48711441,1328.6,3.24,836.0,115.29,5103.0,0.787,0.823,4.562,4.0,207.0,5.5825257,40.321964,0.812,2.93,,9.28,Kepler,,,,,,,,,,,,
K01563.02,Kepler-305 c,CONFIRMED,CANDIDATE,8.29084167,1033.9,3.21,728.0,66.47,5103.0,0.787,0.823,4.562,4.0,132.0,5.0337462,27.025053,0.929,3.613,,8.14,Kepler,,,,,,,,,,,,
K01563.03,Kepler-305 e,CONFIRMED,CANDIDATE,3.20539622,453.6,1.7,1000.0,236.11,5103.0,0.787,0.823,4.562,4.0,326.0,4.5903673,15.503878,0.512,2.143,,10.11,Kepler,,,,,,,,,,,,
K01563.04,Kepler-305 d,CONFIRMED,CANDIDATE,16.73869035,996.8,2.56,576.0,26.06,5103.0,0.787,0.823,4.562,4.0,60.0,4.407519,13.798911,0.578,2.398,,45.4,Kepler,,,,,,,,,,,,
K00181.01,,FALSE POSITIVE,FALSE POSITIVE,5.093938816,25026.7,17.19,1137.0,395.38,6197.0,1.035,1.096,4.449,1.0,259.0,180.00021,1803.5532,0.618,3.93144,,9.663,Kepler,,,,,,,,,,,,
K01616.01,Kepler-909 b,CONFIRMED,CANDIDATE,13.93291548,131.6,1.66,852.0,124.53,6026.0,1.207,1.113,4.321,2.0,47.0,5.6667614,20.91329,0.908,2.6239,,18.18,Kepler,,,,,,,,,,,,
K01618.01,Kepler-910 b,CONFIRMED,CANDIDATE,2.36436762,28.4,0.82,1752.0,2228.09,6250.0,1.543,1.326,4.184,1.0,571.0,4.8008075,18.173906,0.146,3.372,,5.358,Kepler,,,,,,,,,,,,
K01619.01,,CANDIDATE,CANDIDATE,20.6654374,100.4,0.66,487.0,13.35,4830.0,0.676,0.671,4.605,1.0,50.0,4.4412627,14.364524,0.05,3.172,,50.16,Kepler,,,,,,,,,,,,
K01621.01,Kepler-911 b,CONFIRMED,CANDIDATE,20.31047472,164.6,2.41,931.0,177.81,6065.0,1.877,1.197,3.97,1.0,67.0,7.240426,32.23092,0.05,5.3357,,29.39,Kepler,,,,,,,,,,,,
K01622.01,,CANDIDATE,CANDIDATE,69.8347983,266.6,3.51,765.0,80.97,7732.0,2.022,1.774,4.075,1.0,19.0,10.4856205,33.151352,0.672,8.262,,49.2,Kepler,,,,,,,,,,,,
K01626.01,Kepler-912 b,CONFIRMED,CANDIDATE,2.53475568,463.0,2.02,1218.0,519.95,5662.0,0.806,0.808,4.532,1.0,450.0,4.7098107,38.49001,0.878,4.5716,,2.41,Kepler,,,,,,,,,,,,
K01731.01,,CANDIDATE,CANDIDATE,2.59488443,592.2,2.36,1014.0,249.92,4748.0,0.797,0.776,4.526,2.0,251.0,2.977677,12.3103895,0.885,1.684,,6.2,Kepler,,,,,,,,,,,,
K01732.01,Kepler-944 b,CONFIRMED,CANDIDATE,43.3167427,987.5,2.42,459.0,10.47,5654.0,0.774,0.865,4.59,1.0,32.0,6.038631,21.455402,0.034,4.995,,68.11,Kepler,,,,,,,,,,,,
K01733.01,,CANDIDATE,CANDIDATE,19.18109525,865.4,1.72,513.0,16.42,5214.0,0.587,0.591,4.673,1.0,73.0,4.4207025,14.985963,0.007,2.424,,62.07,Kepler,,,,,,,,,,,,
K00193.01,,FALSE POSITIVE,FALSE POSITIVE,37.590298548,19938.9,14.39,573.0,25.53,6147.0,1.003,1.064,4.463,1.0,36.0,202.44992,875.46204,0.38,4.3855,,69.8,Kepler,,,,,,,,,,,,
K01736.01,Kepler-945 b,CONFIRMED,CANDIDATE,31.0033072,645.2,2.72,616.0,34.03,6090.0,1.071,1.173,4.447,1.0,41.0,5.570834,17.33398,0.151,5.253,,45.63,Kepler,,,,,,,,,,,,
K01500.01,,FALSE POSITIVE,FALSE POSITIVE,3.351556891,341.9,1.64,1074.0,314.73,5185.0,0.911,0.837,4.442,1.0,400.0,5.6793165,33.38515,0.129,2.4005,,10.771,Kepler,,,,,,,,,,,,
K01501.01,Kepler-866 b,CONFIRMED,CANDIDATE,2.617028373,499.4,1.57,996.0,233.23,4831.0,0.724,0.706,4.568,1.0,514.0,4.746314,23.59866,0.146,2.046,,9.88,Kepler,,,,,,,,,,,,
K01502.01,,FALSE POSITIVE,FALSE POSITIVE,1.876406096,433.8,1.57,1192.0,476.68,5198.0,0.759,0.843,4.6,1.0,714.0,4.906174,31.572254,0.302,1.531,,9.13,Kepler,,,,,,,,,,,,
K00175.01,,FALSE POSITIVE,FALSE POSITIVE,6.71425632,283.5,5.76,1565.0,1416.6,6093.0,2.623,1.372,3.737,1.0,201.0,8.794458,41.449924,0.965,3.339,,5.18,Kepler,,,,,,,,,,,,
K01503.01,Kepler-867 b,CONFIRMED,CANDIDATE,150.2412582,2378.5,4.6,327.0,2.72,5604.0,0.943,0.916,4.451,1.0,10.0,27.327625,69.35844,0.345,10.849,,104.3,Kepler,,,,,,,,,,,,
K01564.01,Kepler-891 b,CONFIRMED,CANDIDATE,53.44944498,3437.0,5.82,486.0,13.23,5919.0,1.0,1.114,4.485,1.0,24.0,30.049507,110.02427,0.092,5.3091,,80.697,Kepler,,,,,,,,,,,,
K01565.01,,FALSE POSITIVE,FALSE POSITIVE,0.466743525,796.1,20.43,2197.0,5480.92,5791.0,0.856,0.946,4.549,1.0,1428.0,3.8772557,8.796906,1.186,1.3956,,1.395,Kepler,,,,,,,,,,,,
K01566.01,,FALSE POSITIVE,FALSE POSITIVE,1.727177258,347.4,1.42,1250.0,576.55,5394.0,0.72,0.805,4.622,1.0,657.0,6.051578,13.080097,0.676,2.081,,4.89,Kepler,,,,,,,,,,,,
K01567.01,Kepler-306 c,CONFIRMED,CANDIDATE,7.24022418,864.9,2.14,716.0,62.1,4955.0,0.721,0.774,4.61,4.0,158.0,6.5812044,38.200813,0.507,2.9153,,16.97,Kepler,,,,,,,,,,,,
K01567.02,Kepler-306 b,CONFIRMED,CANDIDATE,4.64622383,446.5,1.82,830.0,112.18,4955.0,0.721,0.774,4.61,4.0,228.0,5.4548845,21.927835,0.88,2.5137,,7.42,Kepler,,,,,,,,,,,,
K01627.01,Kepler-913 b,CONFIRMED,CANDIDATE,10.29674097,1011.8,5.75,1129.0,384.86,6068.0,1.797,1.294,4.04,3.0,111.0,4.825361,25.841604,0.298,2.7292,,28.4,Kepler,,,,,,,,,,,,
K01627.02,Kepler-913 c,CONFIRMED,CANDIDATE,5.93919041,424.5,3.7,1357.0,801.92,6068.0,1.797,1.294,4.04,3.0,184.0,4.4229336,12.756395,0.107,2.285,,20.13,Kepler,,,,,,,,,,,,
K01628.01,Kepler-312 c,CONFIRMED,CANDIDATE,19.74733983,480.7,2.62,754.0,76.57,6243.0,1.149,1.226,4.406,3.0,66.0,9.182446,41.21705,0.595,3.4444,,36.4,Kepler,,,,,,,,,,,,
K00189.01,Kepler-486 b,CONFIRMED,CANDIDATE,30.360445359,21124.7,10.99,459.0,10.47,4939.0,0.765,0.74,4.541,1.0,35.0,229.49213,1091.1238,0.359,6.0134,,41.39,Kepler,,,,,,,,,,,,
K01629.01,Kepler-914 b,CONFIRMED,CANDIDATE,4.4096675,132.7,1.51,1192.0,476.94,5836.0,1.166,1.1,4.347,1.0,306.0,4.1861,23.284727,0.814,2.1418,,9.49,Kepler,,,,,,,,,,,,
K01738.01,Kepler-1671 b,CONFIRMED,CANDIDATE,4.16787814,168.1,1.07,962.0,202.48,5251.0,0.847,0.91,4.541,1.0,325.0,4.2387223,27.731834,0.168,2.2136,,14.36,Kepler,,,,,,,,,,,,
K01739.01,,CANDIDATE,CANDIDATE,220.65651253,,,,,,,,,1.0,,,,,7.82,,,Kepler,,,,,,,,,,,,
K01746.01,Kepler-946 b,CONFIRMED,CANDIDATE,11.79161234,415.4,2.41,857.0,127.75,5619.0,1.199,0.962,4.264,1.0,114.0,3.8887682,16.84438,0.034,3.036,,30.2,Kepler,,,,,,,,,,,,
K01747.01,,FALSE POSITIVE,FALSE POSITIVE,20.55848388,677.3,36.9,624.0,35.76,5578.0,0.936,0.974,4.484,2.0,67.0,5.4672875,17.007568,1.334,1.449,,29.2,Kepler,,,,,,,,,,,,
K01749.01,Kepler-947 b,CONFIRMED,CANDIDATE,26.964501,601.7,2.2,573.0,25.56,5754.0,0.905,1.021,4.534,1.0,54.0,4.885776,16.678694,0.006,3.792,,55.53,Kepler,,,,,,,,,,,,
K01750.01,Kepler-948 b,CONFIRMED,CANDIDATE,7.76845639,217.8,1.35,841.0,118.09,5447.0,0.917,0.928,4.481,2.0,173.0,4.3469543,20.465412,0.353,3.689,,15.3,Kepler,,,,,,,,,,,,
K01504.01,,FALSE POSITIVE,FALSE POSITIVE,2.178154348,428.6,22.22,1392.0,886.88,5947.0,0.881,0.86,4.482,1.0,616.0,4.7959886,41.979595,1.21,3.4874,,1.623,Kepler,,,,,,,,,,,,
K01505.01,Kepler-868 b,CONFIRMED,CANDIDATE,5.03257009,439.1,2.53,1047.0,283.49,5970.0,0.908,0.996,4.521,1.0,264.0,4.141011,23.779182,0.97,4.213,,3.19,Kepler,,,,,,,,,,,,
K01506.01,Kepler-869 b,CONFIRMED,CANDIDATE,40.4286676,916.1,2.92,494.0,14.08,5813.0,0.833,0.925,4.561,1.0,35.0,7.8772316,31.592804,0.872,7.102,,24.0,Kepler,,,,,,,,,,,,
K01507.01,Kepler-870 b,CONFIRMED,CANDIDATE,21.3588236,640.1,2.52,691.0,53.89,6170.0,0.992,1.063,4.472,1.0,64.0,7.2193017,26.81022,0.092,5.823,,28.56,Kepler,,,,,,,,,,,,
K01508.01,Kepler-871 b,CONFIRMED,CANDIDATE,22.0459163,804.8,3.05,640.0,39.69,5900.0,0.951,1.065,4.509,1.0,61.0,5.717545,26.71752,0.837,5.22,,19.38,Kepler,,,,,,,,,,,,
K01509.01,,FALSE POSITIVE,FALSE POSITIVE,49.6456235,857.5,43.41,648.0,41.57,6273.0,1.493,1.095,4.129,1.0,27.0,25.9852,99.38497,1.236,23.568,,4.59,Kepler,,,,,,,,,,,,
K01567.03,Kepler-306 d,CONFIRMED,CANDIDATE,17.32670445,800.0,2.23,535.0,19.38,4955.0,0.721,0.774,4.61,4.0,67.0,7.0385246,27.02667,0.756,4.269,,21.64,Kepler,,,,,,,,,,,,
K01567.04,Kepler-306 e,CONFIRMED,CANDIDATE,44.8411168,1051.6,2.75,390.0,5.45,4955.0,0.721,0.774,4.61,4.0,20.0,6.9174876,22.303108,0.864,5.902,,33.1,Kepler,,,,,,,,,,,,
K01568.01,,FALSE POSITIVE,FALSE POSITIVE,1.008917105,338.5,1.51,1636.0,1698.88,5708.0,0.795,0.883,4.578,1.0,1122.0,4.610032,26.506721,0.545,1.4577,,4.6,Kepler,,,,,,,,,,,,
K01569.01,Kepler-892 b,CONFIRMED,CANDIDATE,13.75207851,1215.6,2.81,556.0,22.57,4802.0,0.699,0.738,4.616,1.0,98.0,6.7218804,31.185875,0.836,2.8831,,22.4,Kepler,,,,,,,,,,,,
K01570.01,Kepler-893 b,CONFIRMED,CANDIDATE,6.33855946,721.7,3.31,1034.0,270.47,6108.0,1.03,1.132,4.466,1.0,174.0,6.5390487,47.97676,0.907,3.4617,,6.88,Kepler,,,,,,,,,,,,
K01630.01,,CANDIDATE,CANDIDATE,11.30507984,278.4,1.4,744.0,72.67,5705.0,0.844,0.936,4.556,1.0,116.0,5.3543544,16.90332,0.195,3.989,,21.58,Kepler,,,,,,,,,,,,
K01632.01,Kepler-915 b,CONFIRMED,CANDIDATE,4.59489816,109.7,1.85,1319.0,716.65,6056.0,1.381,1.148,4.217,1.0,291.0,4.2430696,23.504114,0.953,3.1381,,3.94,Kepler,,,,,,,,,,,,
K01633.01,Kepler-916 b,CONFIRMED,CANDIDATE,32.2964275,472.2,1.9,503.0,15.14,5246.0,0.891,0.854,4.47,1.0,43.0,4.842732,13.979327,0.207,4.561,,54.01,Kepler,,,,,,,,,,,,
K01637.01,Kepler-917 b,CONFIRMED,CANDIDATE,2.97041801,530.7,1.7,991.0,228.11,5068.0,0.743,0.833,4.608,1.0,362.0,3.9476871,19.680035,0.379,2.2369,,9.64,Kepler,,,,,,,,,,,,
K01639.02,,CANDIDATE,CANDIDATE,9.9824036,83.9,1.17,966.0,205.65,6273.0,1.139,1.092,4.364,2.0,,,,0.8093,1.09,,42.2,Kepler,,,,,,,,,,,,
K01764.01,,CANDIDATE,CANDIDATE,12.681733929,5879.1,7.25,601.0,30.84,4976.0,0.701,0.677,4.577,1.0,78.0,21.215656,111.8672,0.929,1.6866,,33.24,Kepler,,,,,,,,,,,,
K01765.01,,FALSE POSITIVE,FALSE POSITIVE,6.814984472,23915.3,14.18,836.0,115.58,5465.0,0.817,0.897,4.566,1.0,179.0,97.8356,843.1109,0.793,3.05409,,14.432,Kepler,,,,,,,,,,,,
K01770.01,,FALSE POSITIVE,FALSE POSITIVE,63.9354965,1250.6,2637.6,2590.0,10631.01,3626.0,97.41,1.673,0.684,1.0,22.0,70.88845,92.80495,1.2,13.321,,12.64,Kepler,,,,,,,,,,,,
K01773.01,,CANDIDATE,CANDIDATE,83.09708021,15860.2,13.83,329.0,2.78,5286.0,0.636,0.626,4.627,1.0,14.0,78.39616,251.88191,0.993,9.2639,,46.11,Kepler,,,,,,,,,,,,
K00022.01,Kepler-422 b,CONFIRMED,CANDIDATE,7.891448838,10344.6,12.63,1028.0,263.54,5972.0,1.237,1.148,4.313,1.0,169.0,204.69714,1973.1324,0.306,4.2854,,14.784,Kepler,,,,,,,,,,,,
K01510.01,,CANDIDATE,CANDIDATE,0.839961456,492.9,1.63,1455.0,1066.37,4932.0,0.718,0.808,4.618,1.0,1554.0,3.8445795,27.5152,0.548,1.3008,,4.31,Kepler,,,,,,,,,,,,
K01511.01,Kepler-872 b,CONFIRMED,CANDIDATE,2.578852119,334.3,1.63,1230.0,540.56,5743.0,0.853,0.949,4.553,1.0,524.0,4.332655,32.87804,0.625,2.3581,,6.75,Kepler,,,,,,,,,,,,
K01512.01,,FALSE POSITIVE,FALSE POSITIVE,9.04189129,783.4,3.24,729.0,66.83,5237.0,0.826,0.927,4.572,1.0,119.0,6.5174136,30.428164,0.967,2.789,,9.25,Kepler,,,,,,,,,,,,
K00176.01,Kepler-483 b,CONFIRMED,CANDIDATE,30.22910274,443.4,3.49,755.0,76.88,6325.0,1.518,1.296,4.188,1.0,46.0,12.292663,53.19904,0.77,6.6751,,23.19,Kepler,,,,,,,,,,,,
K01513.01,,FALSE POSITIVE,FALSE POSITIVE,0.798200403,396.8,24.03,2128.0,4875.01,6258.0,1.031,1.087,4.449,1.0,1336.0,3.976135,12.28706,1.193,1.8261,,1.409,Kepler,,,,,,,,,,,,
K00182.01,,FALSE POSITIVE,FALSE POSITIVE,3.479425638,19550.0,12.86,1166.0,435.85,5907.0,0.878,0.929,4.519,1.0,306.0,138.5319,1656.2042,0.612,3.4479,,7.41,Kepler,,,,,,,,,,,,
K01571.01,,FALSE POSITIVE,FALSE POSITIVE,2.92878704,549.4,22.76,1239.0,556.77,5955.0,0.883,0.972,4.534,1.0,387.0,6.0734687,32.33942,1.212,4.634,,1.691,Kepler,,,,,,,,,,,,
K01572.01,Kepler-894 b,CONFIRMED,CANDIDATE,9.80321143,813.4,2.99,896.0,152.12,6170.0,0.992,1.063,4.472,1.0,118.0,6.697026,46.059982,0.663,4.4617,,13.21,Kepler,,,,,,,,,,,,
K01573.01,Kepler-1755 b,CONFIRMED,CANDIDATE,24.81097206,2090.8,4.22,631.0,37.43,6086.0,0.921,1.003,4.511,2.0,53.0,19.424139,91.72884,0.039,3.2245,,61.21,Kepler,,,,,,,,,,,,
K01573.02,,CANDIDATE,CANDIDATE,7.136922,221.6,1.38,956.0,197.05,6086.0,0.921,1.003,4.511,2.0,186.0,3.8983874,13.640516,0.072,2.8005,,19.69,Kepler,,,,,,,,,,,,
K01641.01,Kepler-918 b,CONFIRMED,CANDIDATE,4.8538404,196.4,1.72,1052.0,288.7,5778.0,0.968,1.038,4.483,1.0,219.0,4.9223104,13.1556225,0.943,3.198,,4.51,Kepler,,,,,,,,,,,,
K01643.01,Kepler-919 b,CONFIRMED,CANDIDATE,11.04605365,308.3,1.8,869.0,134.66,6093.0,1.025,1.025,4.429,1.0,96.0,4.838763,22.176304,0.064,4.799,,17.84,Kepler,,,,,,,,,,,,
K01644.01,,FALSE POSITIVE,FALSE POSITIVE,2.621706694,4572.0,34.68,1288.0,648.75,5749.0,0.881,0.772,4.436,1.0,158.0,24.077776,192.8367,1.279,1.941,,4.96,Kepler,,,,,,,,,,,,
K01646.01,Kepler-1759 b,CONFIRMED,CANDIDATE,3.72020708,156.9,0.99,954.0,195.7,5017.0,0.797,0.76,4.516,1.0,285.0,3.6129627,14.020479,0.341,1.892,,14.32,Kepler,,,,,,,,,,,,
K00190.01,,FALSE POSITIVE,FALSE POSITIVE,12.264867364,11310.9,28.29,1077.0,317.89,5372.0,2.344,1.295,3.81,1.0,84.0,128.99419,620.94885,0.818,4.7366,,14.89,Kepler,,,,,,,,,,,,
K01751.01,Kepler-949 b,CONFIRMED,CANDIDATE,8.689301216,1117.0,2.92,782.0,88.24,5211.0,0.895,0.817,4.447,2.0,126.0,10.483351,61.405857,0.029,2.563,,26.669,Kepler,,,,,,,,,,,,
K01751.02,Kepler-949 c,CONFIRMED,CANDIDATE,20.99757968,1131.8,2.97,582.0,27.2,5211.0,0.895,0.817,4.447,2.0,51.0,9.976729,27.840118,0.277,2.454,,64.9,Kepler,,,,,,,,,,,,
K01753.01,,FALSE POSITIVE,FALSE POSITIVE,0.979442525,469.3,1.64,1567.0,1420.01,5532.0,0.745,0.833,4.607,1.0,1158.0,4.4168143,21.955296,0.388,1.0348,,6.86,Kepler,,,,,,,,,,,,
K00194.01,Kepler-488 b,CONFIRMED,CANDIDATE,3.120828136,16456.0,14.16,1303.0,680.79,6122.0,0.996,1.07,4.471,1.0,435.0,95.42834,1089.1381,0.784,2.1878,,8.92,Kepler,,,,,,,,,,,,
K01754.01,Kepler-1768 b,CONFIRMED,CANDIDATE,15.13590453,255.7,2.57,933.0,179.16,6050.0,1.572,1.24,4.137,1.0,88.0,4.307178,22.03249,0.46,2.236,,46.8,Kepler,,,,,,,,,,,,
K01514.01,,FALSE POSITIVE,FALSE POSITIVE,1.399326503,206.4,1.0,1143.0,402.58,4502.0,0.728,0.722,4.572,1.0,963.0,4.8151937,17.877892,0.009,1.8305,,5.942,Kepler,,,,,,,,,,,,
K01515.01,Kepler-303 b,CONFIRMED,CANDIDATE,1.937029968,312.3,0.87,802.0,97.94,4042.0,0.49,0.505,4.761,2.0,688.0,4.7435646,35.267838,0.105,1.4727,,10.175,Kepler,,,,,,,,,,,,
K01515.02,Kepler-303 c,CONFIRMED,CANDIDATE,7.06117322,481.7,1.23,521.0,17.41,4042.0,0.49,0.505,4.761,2.0,172.0,4.9078355,20.562792,0.845,1.0406,,29.9,Kepler,,,,,,,,,,,,
K01516.01,Kepler-873 b,CONFIRMED,CANDIDATE,20.55331441,678.3,3.19,749.0,74.49,6325.0,1.112,1.157,4.409,1.0,66.0,6.629865,33.71081,0.795,5.3136,,19.19,Kepler,,,,,,,,,,,,
K01517.01,Kepler-874 b,CONFIRMED,CANDIDATE,40.0686713,970.9,3.1,560.0,23.27,6026.0,0.992,0.924,4.411,1.0,33.0,11.227994,47.246983,0.029,5.8875,,53.46,Kepler,,,,,,,,,,,,
K01574.01,Kepler-87 b,CONFIRMED,CANDIDATE,114.73658,4850.0,12.28,476.0,12.13,5597.0,1.699,0.969,3.963,4.0,11.0,69.59541,196.19203,0.595,12.0355,,64.44,Kepler,,,,,,,,,,,,
K01574.02,Kepler-87 c,CONFIRMED,CANDIDATE,191.239133,1061.2,6.47,401.0,6.14,5597.0,1.699,0.969,3.963,4.0,4.0,18.385841,27.220509,0.876,16.942,,47.5,Kepler,,,,,,,,,,,,
K01574.03,,CANDIDATE,CANDIDATE,5.83393857,134.4,1.98,1285.0,642.83,5597.0,1.699,0.969,3.963,4.0,184.0,2.8962574,9.252706,0.398,4.5813,,9.06,Kepler,,,,,,,,,,,,
K01575.01,,FALSE POSITIVE,FALSE POSITIVE,24.3282251,1120.6,294.02,520.0,17.33,5286.0,0.78,0.872,4.59,1.0,56.0,7.781012,24.034557,4.426,6.158,,15.06,Kepler,,,,,,,,,,,,
K01576.01,Kepler-307 b,CONFIRMED,CANDIDATE,10.41572666,825.3,3.01,797.0,95.64,5511.0,0.987,0.947,4.426,3.0,132.0,10.29819,57.242867,0.682,2.7719,,22.1,Kepler,,,,,,,,,,,,
K01647.01,Kepler-313 b,CONFIRMED,CANDIDATE,14.97031664,290.5,2.53,883.0,143.33,5726.0,1.483,1.066,4.123,3.0,70.0,6.9875393,23.425465,0.352,5.884,,18.53,Kepler,,,,,,,,,,,,
K01647.02,Kepler-313 c,CONFIRMED,CANDIDATE,32.2753853,223.9,2.31,683.0,51.5,5726.0,1.483,1.066,4.123,3.0,30.0,4.6487665,11.423345,0.608,8.622,,23.22,Kepler,,,,,,,,,,,,
K01647.03,,CANDIDATE,CANDIDATE,6.33027476,89.2,1.02,1046.0,283.31,5900.0,1.07,0.964,4.363,3.0,153.0,4.6442986,8.8826475,0.3288,3.67,,12.58,Kepler,,,,,,,,,,,,
K01648.01,Kepler-1760 b,CONFIRMED,CANDIDATE,38.3262237,392.1,2.43,480.0,12.56,5229.0,0.903,0.821,4.441,1.0,28.0,4.95927,12.92448,0.963,3.073,,33.3,Kepler,,,,,,,,,,,,
K01649.01,Kepler-1761 b,CONFIRMED,CANDIDATE,4.04355245,416.2,1.75,613.0,33.34,3871.0,0.532,0.573,4.744,1.0,265.0,3.277066,17.655901,0.984,1.965,,4.9,Kepler,,,,,,,,,,,,
K01758.01,,CANDIDATE,CANDIDATE,5.59728249,1407.3,3.28,930.0,176.53,5610.0,0.858,0.953,4.551,1.0,200.0,6.867977,33.80947,0.473,1.795,,21.94,Kepler,,,,,,,,,,,,
K01760.01,Kepler-317 b,CONFIRMED,CANDIDATE,5.52418625,491.0,2.25,976.0,214.86,5334.0,1.004,0.865,4.372,2.0,194.0,4.0776553,17.317513,0.492,2.826,,13.37,Kepler,,,,,,,,,,,,
K01760.02,Kepler-317 c,CONFIRMED,CANDIDATE,8.77514782,351.9,1.91,837.0,115.84,5334.0,1.004,0.865,4.372,2.0,119.0,2.9793203,10.845035,0.504,3.176,,18.68,Kepler,,,,,,,,,,,,
K01761.01,,FALSE POSITIVE,FALSE POSITIVE,10.12742274,933.5,3.8,969.0,208.77,6392.0,1.162,1.232,4.399,1.0,102.0,3.654831,16.372225,0.696,1.2762,,46.1,Kepler,,,,,,,,,,,,
