object_name,kepler_name,disposition,koi_pdisposition,orbital_period,transit_depth,planet_radius,koi_teq,koi_insol,stellar_teff,stellar_radius,koi_smass,koi_slogg,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,impact_parameter,transit_duration,koi_ingress,koi_dor,source,tid,toipfx,st_tmag,st_logg,st_dist,toi_created,ra,dec,pl_name,pl_letter,pl_eqt,st_mass
K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,21.67699193,857.2,2.95,530.0,18.64,4954.0,0.828,0.791,4.5,4.0,62.0,5.911944,24.54073,0.896,3.4555,,24.6,Kepler,,,,,,,,,,,,
K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,4.99677968,934.7,2.78,917.0,166.95,5339.0,0.847,0.931,4.552,1.0,208.0,4.132564,24.283327,0.71,2.1717,,13.14,Kepler,,,,,,,,,,,,
K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,4.280963604,750.8,2.3,1012.0,247.87,5644.0,0.831,0.928,4.564,1.0,311.0,6.7006826,52.913242,0.424,2.875,,10.64,Kepler,,,,,,,,,,,,
K00770.01,,FALSE POSITIVE,FALSE POSITIVE,1.50635409,2211.7,4.53,1452.0,1054.12,5714.0,0.831,0.926,4.563,1.0,882.0,9.787732,130.6654,0.86,1.5155,,4.67,Kepler,,,,,,,,,,,,
K00771.01,,FALSE POSITIVE,FALSE POSITIVE,670.645531,18090.6,14.14,196.0,0.35,5520.0,0.983,1.03,4.466,1.0,3.0,70.64302,96.96236,0.701,53.412,,85.24,Kepler,,,,,,,,,,,,
K00772.01,,FALSE POSITIVE,FALSE POSITIVE,61.2563628,5123.3,39.87,505.0,15.43,6144.0,1.091,1.093,4.402,1.0,13.0,31.079844,73.10389,1.248,7.633,,29.1,Kepler,,,,,,,,,,,,
K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,38.3775486,724.2,2.82,529.0,18.53,5481.0,1.036,0.915,4.369,1.0,37.0,10.352898,31.946487,0.468,5.588,,47.8,Kepler,,,,,,,,,,,,
K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,41.19725502,2213.9,3.86,439.0,8.76,5031.0,0.848,0.801,4.485,3.0,26.0,11.918161,37.877567,0.045,4.6297,,70.75,Kepler,,,,,,,,,,,,
K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,6.252962249,1036.9,2.65,823.0,108.3,5031.0,0.848,0.801,4.485,3.0,167.0,5.834264,35.96252,0.105,2.5819,,18.94,Kepler,,,,,,,,,,,,
K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,16.01308419,1121.9,3.1,593.0,29.31,5015.0,0.826,0.785,4.499,1.0,65.0,8.468995,31.066507,0.799,3.2554,,24.7,Kepler,,,,,,,,,,,,
K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,32.62876672,1804.8,3.36,506.0,15.55,5586.0,0.798,0.844,4.56,2.0,34.0,14.0889,61.372303,0.021,4.7971,,53.95,Kepler,,,,,,,,,,,,
K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,91.7732862,652.0,2.12,359.0,3.92,5586.0,0.798,0.844,4.56,2.0,11.0,6.9461374,14.678595,0.606,6.473,,89.4,Kepler,,,,,,,,,,,,
K00760.01,Kepler-1976 b,CONFIRMED,CANDIDATE,4.959319244,9802.0,12.21,1103.0,349.4,5712.0,1.082,0.976,4.359,1.0,269.0,58.764744,670.4895,0.831,2.22739,,12.386,Kepler,,,,,,,,,,,,
K00761.01,,FALSE POSITIVE,FALSE POSITIVE,2.701287801,860.4,6.54,1222.0,527.81,5550.0,0.91,0.889,4.468,1.0,387.0,5.044661,39.745068,1.016,3.3827,,2.22,Kepler,,,,,,,,,,,,
K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,4.49876511,460.0,2.1,1133.0,389.62,6075.0,0.969,1.048,4.486,1.0,238.0,4.435833,26.501581,0.312,3.7362,,8.95,Kepler,,,,,,,,,,,,
K00763.01,,FALSE POSITIVE,FALSE POSITIVE,19.651209505,11766.3,12.42,730.0,67.03,6074.0,1.063,1.014,4.391,1.0,59.0,85.46643,509.4985,0.723,5.2514,,23.98,Kepler,,,,,,,,,,,,
K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,5.412203927,601.6,2.94,1093.0,337.68,5779.0,1.087,0.941,4.339,3.0,244.0,46.475086,163.47614,0.787,2.9472,,9.25,Kepler,,,,,,,,,,,,
K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,41.43958662,2793.1,5.5,516.0,16.72,5468.0,1.046,0.93,4.367,1.0,33.0,27.788597,124.52492,0.355,10.5989,,29.47,Kepler,,,,,,,,,,,,
K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,8.35389523,1041.6,2.52,790.0,91.9,5592.0,0.787,0.862,4.582,1.0,127.0,5.6967807,36.34974,0.023,2.2514,,29.18,Kepler,,,,,,,,,,,,
K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,4.125543472,1487.3,4.43,1243.0,565.35,6174.0,1.103,1.162,4.417,1.0,323.0,9.387555,94.70979,0.597,3.1744,,8.45,Kepler,,,,,,,,,,,,
K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,2.816504904,16813.7,12.21,1219.0,521.13,5532.0,0.955,0.941,4.452,1.0,474.0,104.64681,1328.3038,0.105,2.50587,,9.571,Kepler,,,,,,,,,,,,
K00768.01,,FALSE POSITIVE,FALSE POSITIVE,33.93373447,8503.7,7.34,430.0,8.11,5040.0,0.705,0.782,4.628,1.0,31.0,52.86124,193.4089,0.812,14.561,,13.12,Kepler,,,,,,,,,,,,
K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,3.689920099,426.7,1.89,1147.0,408.99,5880.0,0.917,1.01,4.518,1.0,360.0,4.8750124,31.786789,0.151,2.6557,,10.71,Kepler,,,,,,,,,,,,
K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,4.431238488,1010.9,3.25,1104.0,351.23,5714.0,1.015,1.007,4.428,3.0,302.0,6.815371,58.259056,0.405,3.15,,10.19,Kepler,,,,,,,,,,,,
K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,11.37936986,1023.5,3.95,806.0,99.68,5714.0,1.015,1.007,4.428,3.0,109.0,5.2506146,29.930164,0.911,2.6255,,16.31,Kepler,,,,,,,,,,,,
K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,26.39432897,1510.9,3.07,489.0,13.49,5129.0,0.763,0.846,4.595,1.0,51.0,8.917681,41.269753,0.602,3.573,,47.7,Kepler,,,,,,,,,,,,
K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,13.57078281,511.7,2.64,785.0,89.61,5854.0,1.012,0.951,4.406,4.0,101.0,18.771214,76.76887,0.866,3.3539,,16.93,Kepler,,,,,,,,,,,,
K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,7.12594387,192.4,1.79,997.0,233.31,5779.0,1.087,0.941,4.339,3.0,181.0,6.1814723,39.793564,0.898,3.0014,,8.62,Kepler,,,,,,,,,,,,
K00774.01,,FALSE POSITIVE,FALSE POSITIVE,7.442652004,24446.2,15.03,967.0,206.78,6108.0,0.956,0.981,4.469,1.0,180.0,115.64278,1044.7283,0.137,2.3078,,27.99,Kepler,,,,,,,,,,,,
K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,16.38489988,1127.1,2.0,433.0,8.35,4126.0,0.615,0.633,4.661,3.0,65.0,6.419572,28.122635,0.001,3.0249,,42.62,Kepler,,,,,,,,,,,,
