pl_name,pl_letter,pl_orbper,pl_trandep,pl_rade,pl_eqt,pl_trandur,st_rad,st_mass,st_teff,st_logg,ra,dec
K2-330 b,b,13.773,0.02092,2.17,,4.68,1.469,,,,126.8968265,11.6674131
K2-377 b,b,12.83724862,0.054,,,3.944,0.697984,0.674,4314.0,4.57904,202.897887,-12.0951142
K2-58 d,d,22.882,0.0425,1.84,,3.12,0.837,,,,333.8218395,-14.049857
K2-206 b,b,18.294549,,2.79522879,,,0.758046,0.789481,5043.0,4.46,11.2564264,0.5931866
K2-74 b,b,19.5666,,2.31,,5.12,0.98,0.96,6060.0,4.444,339.9192984,-8.7145697
K2-384 f,f,13.62757,0.437,1.78,,2.16,0.257,,,,20.4998403,0.7509701
WASP-157 b,b,3.951605,,,,,1.134,1.26,5838.0,4.5,201.6551525,-8.3176353
K2-238 b,b,3.20466,,14.5717,1587.0,,1.59,1.19,5630.0,4.11,347.7043164,-7.8575592
K2-74 b,b,19.5688,0.0818,3.66,,5.712,1.047,,,,339.9192984,-8.7145697
K2-91 b,b,1.41929871,0.085,,,1.048,0.361559,0.347552,3326.0,4.86273,63.2182348,24.2047218
K2-213 b,b,8.13087,,1.51398464,,,1.20424,1.069596,5794.0,4.25,13.1403998,3.5077702
K2-136 d,d,25.575,,1.565,420.0,3.04,0.677,0.742,4500.0,4.68,67.4128615,22.8825674
K2-46 b,b,19.1541,,2.05,,6.73,1.29,0.96,6256.0,4.198,174.2662454,-0.90721
WASP-85 A b,b,2.6556852,1.49,10.6,,2.6,0.8,,5192.0,,175.9080328,6.5637842
K2-272 b,b,14.452,0.1035,,,3.31992,0.817851,0.93,5363.56,4.5812,132.6211743,17.5423852
K2-43 c,c,2.198884,,2.42,1093.7,,0.542,0.571,3840.6,,169.117028,-3.9754405
K2-62 c,c,16.19803,0.0828,1.73,,1.608,0.577,,,,334.3645089,-12.1874776
HD 73344 b,b,15.613426,0.0362,3.0,,3.0144,1.438,,6460.0,4.264,129.6894456,23.6852651
K2-347 b,b,7.187257,,2.41,640.0,2.57,0.63,0.66,4599.0,4.65,126.3726821,23.2974061
K2-260 b,b,2.6266658,,,,,1.69,1.39,6367.0,4.15,76.8673317,16.8676948
K2-365 b,b,23.44701,0.0783,3.24,,5.712,1.115,,,,238.8197061,-21.0269691
K2-117 b,b,1.292,0.1317,,,1.15296,0.514745,0.512437,3689.0,4.72452,133.8557342,10.4692176
K2-117 b,b,1.29160335703,0.1566796,2.45117748,856.69,1.3077871,0.514745,,3689.0,4.72452,133.8557342,10.4692176
K2-374 b,b,4.521953,,1.593,,,0.907,0.731,5789.0,4.386,137.3794986,16.3558324
K2-189 c,c,6.67913,0.0784,2.58,,2.7,0.882,,,,203.6214411,-15.0365158
K2-212 b,b,9.795546,,2.6,,2.5992,0.67,,,,18.4241015,3.0970732
K2-282 b,b,4.17032,0.0935,3.19,,2.88,1.013,,,,13.4321524,7.9952914
K2-29 b,b,3.258813,1.9011,11.38,,2.196,0.807,,,,62.670422,24.4016558
K2-184 b,b,16.994,0.0315,,,2.28504,0.767142,0.89,5237.31,4.61771,129.1405227,14.4618826
K2-172 c,c,29.626402,0.131,3.41,,4.92,0.86,,5449.0,,335.3081368,-12.5569819
K2-331 b,b,9.398977,,1.79,909.0,3.92,1.06,1.1,5994.0,4.43,132.7376431,13.170269
EPIC 201595106 b,b,0.87703,0.025,1.2,1874.0,1.0008,0.990833,1.018,5711.17,4.45381,183.7203635,1.9681688
EPIC 201841433.01,,12.339133,0.107,2.59,,2.84,0.73,,4751.0,,175.206752,6.1348146
K2-80 b,b,19.09995,,2.11327433,,,0.841458,0.913111,5377.0,4.65,59.037486,13.5590288
K2-393 b,b,10.413181,,2.352,,,1.071,0.881,5678.0,4.321,348.5159113,-0.0821031
EPIC 204750116.02,,7.8392,0.0158,1.46,,3.504,1.115,,,,238.8197061,-21.0269691
K2-247 b,b,2.25021,0.1,2.12,979.0,1.2,0.69,0.74,4667.0,4.63,188.8935189,-10.0692793
EPIC 201497682.02,,7.79983,0.0561,1.37,,3.0,0.554,,,,168.9366786,0.4880606
K2-272 b,b,14.4536756,,3.13,747.0,,0.83,0.86,5397.0,4.53,132.6211743,17.5423852
K2-127 b,b,3.588165,,8.66,,,0.676994,0.699933,4387.84,,207.0782895,-11.5889878
K2-101 b,b,14.677214,,2.19420598,,,0.769722,0.833034,4942.0,4.66,130.3439097,18.9338205
EPIC 212587672 b,b,15.28078,,1.26,756.0,3.46,0.98,0.99,6004.0,4.45,205.4445125,-10.8625468
K2-367 b,b,20.646,0.132,2.38,,2.376,0.58,,,,337.8588454,-13.2644554
K2-183 c,c,10.792613,,2.7,,3.8496,0.92,,,,125.007177,14.0194586
K2-158 b,b,10.06049,0.07,2.64,794.0,3.8,0.95,0.92,5503.0,4.45,179.9397081,-5.7216879
K2-117 c,c,5.44482,,2.03,,,0.491598,0.582006,3842.12,,133.8557342,10.4692176
K2-250 b,b,4.01457,0.102,2.44,958.0,2.4,0.81,0.8,5172.0,4.53,185.0315429,-8.9757427
K2-181 b,b,6.893,0.0585,,,2.46792,1.05734,0.983,5573.0,4.38219,127.5541103,10.9101444
K2-375 b,b,14.453895,,2.243,,,1.543,1.119,5822.0,4.107,130.5013137,20.3593003
K2-387 b,b,28.735327,,7.322,,,0.585,0.57,3572.0,4.66,19.4418282,11.3684915
K2-8 c,c,5.0639064,0.0953,2.46,,1.81,0.73,,4797.0,,169.7935178,-0.2844389
EPIC 248639411.01,,3.577394,,3.05,,1.7,0.799,0.87,4626.0,4.573,154.2501533,6.8664785
EPIC 248639411.01,,3.577501,0.13,3.3001,870.0,1.662,0.87,,4642.1,4.43,154.2501533,6.8664785
K2-351 b,b,7.806164,,2.54,934.0,2.78,1.05,1.02,5769.0,4.4,206.6522408,-11.8049588
K2-138 e,e,8.26146,,3.39,,2.97,0.863,0.935,5356.3,4.54,348.9490311,-10.8497391
K2-34 b,b,2.99529334,0.731,,,2.475,1.4022,1.162,6135.47,4.20966,127.5787231,22.2359194
K2-368 c,c,9.660186,,1.361,,,0.663,0.746,4663.0,4.667,332.6357627,-11.1661157
K2-259 b,b,15.482399,,2.09663798,,,1.077775,,5928.0,4.42,186.8026947,1.5668631
K2-370 b,b,2.1408063,0.0628,2.59639,1267.0,1.569,1.0,,5372.0,4.40929,67.8205302,19.8316901
K2-141 b,b,0.2803244,,1.51,,,0.681,0.708,4599.0,4.62,350.9170464,-1.1891827
K2-275 b,b,3.2809626,,2.34,1166.0,,0.69,0.77,4841.0,4.65,132.1698795,20.4550162
WASP-28 b,b,3.40883458,,,,,,,,,353.6162694,-1.5799849
K2-107 b,b,3.3139095,0.6658,17.38,,3.2232,1.908,,,,284.985355,-22.2934206
K2-77 b,b,8.199796,,2.3,,2.4,0.76,0.8,4970.0,4.47,55.228521,12.572448
K2-122 b,b,2.219405,,1.28,,,0.590802,0.629589,3993.36,,126.4762179,20.3593384
WASP-157 b,b,3.9516956,0.75,,,1.853,1.10289,1.029,5753.0,4.36542,201.6551525,-8.3176353
K2-274 b,b,14.11544241,0.083,,,4.192,0.734473,0.84,5024.37,4.6304,129.2823699,20.3992512
K2-33 b,b,5.42513,0.23,5.76,850.0,4.22,1.1,0.31,3410.0,3.84,242.5613635,-19.3193831
K2-146 b,b,2.64484,,1.83,,,0.325729,0.306161,3359.0,4.8983,130.0266951,19.0923416
K2-183 b,b,0.469269,,2.59929571,,,0.873283,0.942219,5482.0,4.6,125.007177,14.0194586
K2-88 b,b,4.6122,,1.23,,1.039,0.256,0.258,3537.0,5.022,54.7514566,19.1199667
K2-190 c,c,21.574023,,1.09308317,,,0.912206,0.904597,5631.0,4.38,205.3630485,-13.1608686
WASP-85 A b,b,2.65567525096,2.02592263,,1282.98,2.6111014,,,5817.3,,175.9080328,6.5637842
K2-133 c,c,4.8682,0.098,1.48,,1.62,0.47,0.51,3655.0,,70.1493775,25.0098135
K2-282 b,b,4.169783,,2.5,,,1.0,,5499.0,4.5,13.4321524,7.9952914
K2-50 b,b,8.75198,0.1337,2.29,,3.0,0.634,,,,169.483654,5.988289
K2-26 b,b,14.568101,,2.47,,,0.52,,,,94.2064312,24.5958335
K2-15 b,b,11.808398,0.14,3.1,,2.48,0.76,,4992.0,,178.1105741,4.2546649
K2-133 c,c,4.86784,,1.603,,,0.455,0.461,3655.0,,70.1493775,25.0098135
K2-369 b,b,5.761612,,1.313,,,0.881,0.735,5682.0,4.418,329.7262534,-10.8750666
K2-414 b,b,4.3696,,1.219,,,0.732,0.814,4343.0,4.621,351.6361913,-4.6066569
K2-268 c,c,9.325429,0.081,2.14,,,0.713,,,,133.7094899,11.8482712
K2-187 d,d,7.14998,0.1224,3.51,,3.288,0.919,,,,132.5235618,23.1924709
K2-77 b,b,8.199814,,2.49801045,,,0.783982,0.851503,5070.0,4.67,55.228521,12.572448
K2-148 c,c,6.9226,,1.73,,,0.632,0.65,4079.0,4.653,14.5176494,-0.193258
EPIC 201754305 d,d,2.71578,,1.03,,,,0.67,,,175.0972238,4.5574311
K2-65 b,b,12.647849,0.044,1.65,,2.99,0.72,,4711.0,,333.2125206,-10.9261373
K2-8 c,c,5.06416,,2.41,801.0,2.08,0.74,0.78,4870.0,4.52,169.7935178,-0.2844389
K2-285 e,e,14.76289,0.068,1.95,500.9,2.3,0.787,0.83,4975.0,4.4,349.3843458,1.3001522
K2-317 b,b,6.22,0.119,2.93,432.0,,0.379,0.403,3387.0,4.885,228.6188638,-21.0227209
K2-148 d,d,9.7579,,1.64,,,0.632,0.65,4079.0,4.653,14.5176494,-0.193258
K2-266 e,e,19.482,0.127,2.73,490.1,3.6648,0.703,0.686,4285.0,4.581,157.9356855,0.9372782
K2-89 b,b,1.096026,,0.615,,0.895,0.318,0.347,3691.0,4.965,57.0671234,20.4594885
K2-119 b,b,7.72651124,0.087,,,3.199,0.739177,0.71,4525.0,4.55183,132.0098683,16.9017663
K2-52 b,b,3.53482,,11.1,,5.325,1.49,1.21,6113.0,4.14,246.6114157,-24.9699462
K2-349 b,b,9.0333,0.1028,2.75,,3.432,0.825,,,,199.0996546,-14.4447454
K2-133 d,d,11.0248821,0.1943,2.46843,734.0,2.917,0.46,,3798.0,4.77,70.1493775,25.0098135
K2-173 b,b,5.86639571,0.02,,,2.825,1.00118,0.983,5573.35,4.42959,60.3752402,15.6251296
K2-5 c,c,10.93241,,2.26,456.0,3.498,0.57,0.61,3930.0,4.71,169.3034598,-1.8778254
WASP-55 b,b,4.465635,,14.8,,3.5208,1.11,,,,203.7581951,-17.5034961
K2-335 b,b,12.2812,0.0314,2.47,,4.32,1.323,,,,129.3896679,16.5220648
K2-70 b,b,13.97876,0.11,2.77,,3.49,0.77,,5026.0,,338.4759328,-10.0849917
K2-239 b,b,5.24,0.067,1.1,502.0,1.4664,0.36,0.4,3420.0,4.9,160.5941265,4.4413751
WASP-55 b,b,4.4656291,,14.964015,1300.0,,1.102,1.162,6070.0,4.419,203.7581951,-17.5034961
K2-63 c,c,25.457815,0.0829,2.99,,4.6,0.95,,5686.0,,333.4267738,-12.0663429
G 9-40 b,b,5.745912,0.3155,,,1.1328,0.307,,3390.0,4.943,134.7188514,21.0747961
K2-44 b,b,5.657,,2.433,,,1.58,1.15,5912.0,4.101,174.011661,-2.5209338
K2-405 b,b,3.435453,,3.806,,2.3,0.765,1.034,4927.0,4.685,164.3759959,12.535614
K2-211 b,b,0.669558,,1.37466396,,,0.815727,0.881912,5221.0,4.6,21.1061587,1.7049101
K2-68 b,b,8.0549321,0.0653,2.01,,2.78,0.72,,4720.0,,334.0195539,-10.5673649
K2-74 b,b,19.565086,0.0712,2.94,,5.08,1.01,,5804.0,,339.9192984,-8.7145697
K2-13 b,b,39.91488,0.058,1.89,511.0,,0.78,0.8,5698.0,,170.1554763,2.5027534
EPIC 212499991 b,b,34.885,,1.6,,,,0.912,,,202.488752,-12.7347749
K2-407 b,b,4.941907,,1.283,,,0.927,0.881,5563.0,4.45,232.5552584,-23.0067371
K2-338 b,b,3.85,0.0282,,,1.62696,0.626953,0.708,4504.0,4.69363,124.3609294,17.0241557
K2-63 c,c,25.4556,,3.9,,4.24,1.63,1.4,6771.0,4.15,333.4267738,-12.0663429
K2-61 b,b,2.5735352,0.0348,1.94,,2.61,0.95,,5680.0,,339.6748444,-13.5600447
K2-184 b,b,16.993435,,1.53786409,,,0.764371,0.818986,5252.0,4.63,129.1405227,14.4618826
WASP-28 b,b,3.40884,,15.177,1473.0,,1.123,1.011,6084.0,4.342,353.6162694,-1.5799849
K2-188 c,c,7.807595,,2.62511304,,,1.109202,1.106611,5982.0,4.36,129.8137008,23.3574367
K2-89 b,b,1.095962,0.0346,0.617,,0.9264,0.318,,,,57.0671234,20.4594885
K2-64 b,b,6.53147301,0.072,,,3.167,0.875405,0.94,5391.0,4.52678,332.4138478,-11.4286687
K2-281 b,b,8.687721,,8.18,665.0,,0.76,0.82,4812.0,4.59,16.2274724,7.2692169
K2-366 b,b,15.93709,0.059,1.87,,3.288,0.731,,,,243.6800912,-19.3468837
K2-271 b,b,8.56232889439,0.43214695,6.92239107,867.44,3.0961685,1.02304,,5545.3,4.41,125.2239144,16.0907958
K2-335 b,b,12.281,0.0233,,,3.876,1.33471,1.22,6272.0,4.27365,129.3896679,16.5220648
K2-87 b,b,9.72739,,4.6,,4.24,0.93,0.947,5406.0,4.47,66.2363638,18.8273617
K2-62 c,c,16.1966,,2.14,,1.29,0.73,0.77,4880.0,4.604,334.3645089,-12.1874776
K2-58 c,c,2.53726,,1.62,,1.996,0.86,0.89,5413.0,4.522,333.8218395,-14.049857
K2-65 b,b,12.647815,,1.38162499,,,0.668753,0.701917,4799.0,4.55,333.2125206,-10.9261373
K2-217 b,b,14.0721,0.0636,3.36,,5.688,1.278,,,,11.2983678,6.4815879
K2-81 b,b,6.10224,,1.82,,2.15,0.631,0.697,4530.0,4.668,57.4854562,14.5020556
K2-12 b,b,8.28192,0.0481,2.48,,4.128,1.084,,,,173.1919022,2.2446794
K2-83 b,b,2.747227,,1.71,,,0.547001,0.594112,3875.75,,59.9013782,15.5587994
K2-16 c,c,19.07454,0.111,2.58,,3.48,0.71,,4620.0,,175.0972238,4.5574311
K2-138 f,f,12.75758,,2.904,,3.2,0.863,0.935,5356.3,4.54,348.9490311,-10.8497391
K2-275 b,b,3.280858,,2.128688,,,0.727072,,4822.0,4.44,132.1698795,20.4550162
K2-339 b,b,19.508,0.1237,2.11,,3.792,0.576,,,,130.082542,18.6929046
K2-55 b,b,2.849258,,3.82,,2.006,0.63,0.696,4456.0,4.673,333.7518786,-17.2508002
HD 137496 b,b,1.62116,0.00575,1.31,2130.0,3.28,1.59,1.04,5799.0,4.05,231.7420543,-16.5090014
K2-117 b,b,1.291605,0.1817,1.74,,1.152,0.4,,,,133.8557342,10.4692176
K2-352 d,d,14.871387,,2.23,727.0,4.14,0.95,0.98,5791.0,4.47,140.4451478,18.469628
K2-269 b,b,4.144,0.0078,,,2.71704,1.49612,1.18,6177.44,4.16002,130.1551381,13.0146799
K2-131 b,b,0.36930571984,0.07556536,2.13418186,2008.02,1.0027781,0.755722,,5129.0,4.61786,182.751404,-9.7652392
BD+20 594 b,b,41.688644,,2.35545351,,,0.956122,0.963861,5703.0,4.38,53.6511231,20.5990205
K2-3 d,d,44.5631,,1.52,,3.98,0.561,0.601,3896.0,,172.3353708,-1.4551364
K2-174 b,b,19.56204579364,0.13978149,3.28708684,464.01,6.4231417,0.758892,,4246.8,4.5,60.7929729,16.347166
K2-34 b,b,2.995633,,13.1,,2.3592,1.38,,,,127.5787231,22.2359194
K2-187 d,d,7.149584,,2.4,,,0.83,,5438.0,4.6,132.5235618,23.1924709
K2-77 b,b,8.20075,,2.47,,2.469,0.83,0.87,5297.0,4.544,55.228521,12.572448
K2-368 c,c,9.65869,0.0522,1.38,,2.856,0.577,,,,332.6357627,-11.1661157
K2-219 b,b,3.9009,0.01173,1.47,,3.408,1.321,,,,12.8452963,8.8675474
K2-192 b,b,4.16328,0.0318,1.47,,1.6176,0.791,,,,206.5823122,-11.5563527
K2-263 b,b,50.818947,,2.41,470.0,3.4872,0.85,0.88,5368.0,4.51,129.6821253,15.6806039
K2-275 b,b,3.280926,,2.3,,1.9296,0.75,,,,132.1698795,20.4550162
K2-8 c,c,5.06468,,2.31,877.0,,,,,,169.7935178,-0.2844389
K2-187 c,c,2.871512,,1.4,,,0.83,,5438.0,4.6,132.5235618,23.1924709
K2-337 b,b,16.271,0.0312,,,7.53408,1.25863,1.08,5940.0,4.27169,127.761137,16.9004702
K2-182 b,b,4.736837,,2.76,885.0,,0.8,0.88,5165.0,4.58,130.180046,10.9829509
K2-47 b,b,31.6372,,1.89,,4.0,0.76,0.75,5054.0,4.544,168.5825696,2.7805614
K2-174 b,b,19.564,,2.59,,6.05088,0.673,,4581.0,4.645,60.7929729,16.347166
K2-75 b,b,7.81751,0.0392,3.08,,5.184,1.492,,,,338.844896,-7.469895
WASP-47 c,c,572.0,,,247.0,,1.15,1.026,5576.0,4.32,331.203092,-12.019067
WASP-47 d,d,9.03079,,3.6,,,1.11133,0.984,5576.0,4.33938,331.203092,-12.019067
K2-95 b,b,10.1338,0.44,,,,0.414978,0.408283,3411.0,4.81298,129.3625717,18.9766197
K2-44 b,b,5.65706,,2.16,1211.0,,1.09,,5989.0,,174.011661,-2.5209338
K2-8 b,b,10.353263,0.15,3.09,,2.41,0.73,,4797.0,,169.7935178,-0.2844389
K2-240 c,c,20.523,0.098,1.8,389.0,3.192,0.54,0.58,3810.0,4.7,227.849371,-17.8754464
HAT-P-56 b,b,2.7908235,,,,,1.428,1.296,6566.0,4.24,100.8480137,27.2521823
K2-7 b,b,28.6781,0.058,4.03523305,786.0,7.5816,1.533,1.056,5700.0,4.092,167.0937488,-1.065855
K2-128 b,b,5.675819,,1.42,,,0.777569,0.711248,4469.51,,204.4376666,-8.5970858
K2-167 b,b,9.9785275,0.0203,2.34,,,1.499,1.02,5908.0,3.88,336.5761233,-18.011665
K2-161 b,b,9.283188,,6.11721229,,,2.568173,0.986876,4972.0,3.63,183.7938491,-3.4956913
K2-75 b,b,7.8173399,0.0384,2.16,,5.47,1.01,,5800.0,,338.844896,-7.469895
K2-80 b,b,19.0912,0.0562,2.03,,5.136,0.785,,,,59.037486,13.5590288
WASP-75 b,b,2.484193,1.07,14.235,1710.0,1.9728,1.26,1.14,6100.0,4.29,342.3858995,-10.6754686
EPIC 210965800.03,,13.16121,0.0731,2.62,,4.056,0.938,,,,52.8888524,22.4348186
K2-62 b,b,6.67202,,2.14,,1.41,0.73,0.77,4880.0,4.604,334.3645089,-12.1874776
K2-8 c,c,5.06408,,2.44,,1.7,0.8,0.84,5147.0,4.562,169.7935178,-0.2844389
K2-58 b,b,7.05240378,0.098,,,2.185,0.836424,0.834,5020.0,4.51438,333.8218395,-14.049857
K2-62 c,c,16.197189,0.0776,2.11,,1.43,0.69,,4500.0,,334.3645089,-12.1874776
Qatar-2 b,b,1.337116553,,12.89035,,,0.713,0.74,4645.0,4.601,207.6554928,-6.8040714
WASP-85 A b,b,2.6556817,,11.1,,2.486304,0.88,,5426.0,4.5,175.9080328,6.5637842
K2-218 b,b,8.68055,0.0598,2.79,,3.84,1.102,,,,12.809613,6.8464327
K2-130 b,b,2.494206,0.0304,1.22,,1.704,0.663,,,,290.2705419,-19.6908744
K2-141 c,c,7.7485,,7.0,695.0,,0.681,0.708,4570.0,,350.9170464,-1.1891827
K2-394 b,b,5.0957983,0.0714,1.92318,643.0,1.772,0.7,,4197.0,4.56,71.110002,16.5185817
K2-72 e,e,24.158868,,1.29,,,0.330989,0.271365,3360.47,,334.6227504,-9.6120084
K2-35 b,b,2.39991,,1.08,,1.74,0.601,0.663,4426.0,4.697,170.1031027,1.2858679
K2-137 b,b,0.179715,,0.89,1471.0,0.6288,0.442,0.463,3492.0,4.815,186.870426,-6.1952168
WASP-55 b,b,4.46563432994,1.73337557,14.64677635,1188.54,3.512518,1.09036,,6070.0,4.4201,203.7581951,-17.5034961
K2-58 b,b,7.052475,,2.59425303,,,0.803348,0.857874,5134.0,4.54,333.8218395,-14.049857
K2-157 b,b,0.365261,,1.0,,,0.88,,5456.0,4.5,183.7514959,-5.7820178
HAT-P-56 b,b,2.7908821,0.944,19.1,,2.19,1.8,,6659.0,,100.8480137,27.2521823
EPIC 206317286 c,c,17.501662,0.111,2.63,,4.15,0.73,,4749.0,,337.6178427,-7.972456
K2-13 b,b,40.0603,,2.7,,6.34,1.09,0.94,5727.0,4.33,170.1554763,2.5027534
WASP-151 b,b,4.53346998242,1.1929862,13.22170304,1206.89,3.6052513,1.1971,,5846.0,4.31,349.0634651,0.3066895
K2-11 b,b,39.8642,0.0916,2.92,,5.808,0.896,,,,169.0418328,1.9866832
K2-208 b,b,4.19121,0.0365,1.75,,2.184,0.889,,,,20.7789809,0.8890076
K2-138 d,d,5.40484,,2.46,888.0,2.764,0.839,0.916,5283.0,4.538,348.9490311,-10.8497391
K2-152 b,b,32.6527,,2.81,,,0.631,0.654,3940.0,4.657,181.6324078,-5.8274311
WASP-47 e,e,0.789597,,1.829,,,1.15,1.04,5576.0,4.34,331.203092,-12.019067
K2-221 b,b,2.398982,0.0312,1.98,,2.5032,1.0711,,,,16.6550286,10.1897385
K2-412 b,b,5.9382,,2.116,,,0.977,0.893,5590.0,4.412,76.2621295,21.580162
K2-45 b,b,1.7292577,2.406,11.4,,1.7736,0.729,,,,169.6327547,-1.7740582
EPIC 210965800.05,,30.2894,0.0549,2.33,,5.256,0.938,,,,52.8888524,22.4348186
K2-334 b,b,5.113981,,5.65,1380.0,2.46,1.49,1.36,6502.0,4.22,136.4894259,16.3255146
WASP-47 e,e,0.789693,,1.79,,,1.15,,5565.0,4.29,331.203092,-12.019067
K2-285 b,b,3.471745,0.097,2.59,1088.9,2.18,0.787,0.83,4975.0,4.4,349.3843458,1.3001522
K2-87 b,b,9.72664,0.2692,8.42,,4.68,1.508,,,,66.2363638,18.8273617
K2-174 b,b,19.56325,,2.59,,,0.758892,0.66,4246.81,4.49725,60.7929729,16.347166
K2-330 b,b,13.774798,,2.77,969.0,4.57,1.5,1.23,6232.0,4.18,126.8968265,11.6674131
K2-268 c,c,9.32705,0.1239,3.63,,4.08,0.773,,,,133.7094899,11.8482712
K2-113 b,b,5.817681,,12.5,,2.8896,1.33,,,,19.4493823,6.8688469
K2-124 b,b,6.413766,,3.03,445.0,,0.41,0.43,3560.0,4.85,133.6410515,23.1329509
K2-184 b,b,16.99291698,0.037,,,2.719,0.767142,0.89,5237.31,4.61771,129.1405227,14.4618826
K2-24 b,b,20.885075,0.231,4.05,,5.59,0.77,,5071.0,,242.5734559,-24.9906029
K2-122 b,b,2.219315,,1.22,,,0.612,0.644,3903.0,4.677,126.4762179,20.3593384
K2-284 b,b,4.7948599,,,,,0.607,0.63,4140.0,4.67,79.1407971,20.2549034
K2-95 b,b,10.134279,,14.8,,3.3696,0.43,,,,129.3625717,18.9766197
K2-46 b,b,19.15454,,2.47140597,,,1.328888,1.015093,6114.0,4.11,174.2662454,-0.90721
K2-274 b,b,14.1330314,,2.08,655.0,,0.7,0.79,5044.0,4.64,129.2823699,20.3992512
K2-65 b,b,12.64655,0.0391,1.47,,2.928,0.722,,,,333.2125206,-10.9261373
K2-37 d,d,14.090907,0.0866,2.33,,2.74,0.72,,4740.0,,243.4509662,-24.7870527
K2-37 b,b,4.44118,,1.66,,2.3,0.87,0.9,5512.0,4.512,243.4509662,-24.7870527
K2-101 b,b,14.677286,,2.0,,3.23,0.73,0.8,4819.0,,130.3439097,18.9338205
K2-162 b,b,9.457747,,1.48630496,,,0.725626,0.776634,4885.0,4.71,186.0383865,-1.111479
K2-16 b,b,7.6188,,2.02,658.0,2.487,0.66,0.68,4742.0,4.51,175.0972238,4.5574311
K2-272 b,b,14.453513,,2.7,,3.4704,0.74,,,,132.6211743,17.5423852
K2-384 d,d,6.6791,0.169,1.1,,1.512,0.257,,,,20.4998403,0.7509701
K2-43 b,b,3.47114,,4.13,,1.97,0.57,0.6,3939.0,4.698,169.117028,-3.9754405
K2-24 b,b,20.88508,,5.83,709.0,5.881,1.21,1.12,5743.0,4.29,242.5734559,-24.9906029
EPIC 220170303.02,,4.9234,0.021,1.18,,2.016,0.776,,,,12.7736909,-1.1958844
K2-183 c,c,10.792,0.0523,,,3.58104,0.968558,0.95,5436.47,4.44354,125.007177,14.0194586
K2-380 b,b,9.401312,,2.729,,,1.32,0.993,5911.0,4.194,283.4346389,-26.5387308
K2-138 d,d,5.40478,,2.66,,2.97,0.86,0.93,5378.0,4.59,348.9490311,-10.8497391
HD 224018 d,d,138.0731,,2.4,411.0,,1.147,1.013,5784.0,4.32,358.6390056,-4.7233362
K2-3 d,d,44.5609,,0.96,,4.04,0.371,0.414,3841.0,4.906,172.3353708,-1.4551364
K2-28 b,b,2.2604439,0.642,1.6,,0.99,0.18,,2997.0,,335.6233145,-7.9563525
K2-219 d,d,11.13878,0.0419,2.84,,4.896,1.321,,,,12.8452963,8.8675474
EPIC 212297394 c,c,5.213,0.0709,,,2.42208,0.776343,0.831,5008.0,4.57756,207.2061241,-17.6098985
K2-198 d,d,7.45,0.0681,,,2.61,0.781501,0.879,5183.84,4.5962,198.8436817,-6.4649888
K2-59 c,c,11.295158,0.0967,2.47,,1.92,0.73,,4775.0,,338.94255,-14.027727
EPIC 212624936 c,c,11.81387,0.0722,2.67,,2.064,0.948,,,,210.6376171,-10.0236852
K2-191 b,b,2.858,0.0275,,,2.04312,0.891502,0.832,5012.0,4.45795,201.6391407,-12.8066737
K2-344 b,b,3.355854,0.067,1.6,,1.524,0.551,,3860.0,4.72,136.3614923,21.6685886
K2-10 b,b,19.3044,,3.84,,,0.98,0.92,5620.0,4.5,172.1216476,1.6906217
K2-18 b,b,32.94488,0.285,2.24,272.0,,0.394,0.413,3503.0,,172.560141,7.5878315
K2-237 b,b,2.1805577,,18.405178,1838.0,3.0024,1.38,1.23,6099.0,4.27,253.7688479,-28.7105836
K2-43 b,b,3.4712802624,0.42803883,4.2314265,636.76,2.4382015,0.563,,3696.0,4.68275,169.117028,-3.9754405
EPIC 206317286 b,b,1.58316,0.03,1.22,,1.752,0.669,,,,337.6178427,-7.972456
K2-275 c,c,8.438635,,2.5,,2.34,0.75,,,,132.1698795,20.4550162
K2-284 b,b,4.7948642,0.228,3.3985,919.0,2.245,0.65,,4072.0,4.62,79.1407971,20.2549034
K2-248 b,b,7.17256,0.07,2.57,886.0,2.8,0.92,0.88,5528.0,4.45,182.8173343,-9.4141696
K2-36 b,b,1.422647,,1.45,,1.047,0.75,0.81,4953.0,4.598,169.4490102,3.8665038
WASP-55 b,b,4.46659676,1.529,,,3.48,1.09036,1.134,6070.0,4.41754,203.7581951,-17.5034961
K2-34 b,b,2.99563536,,,,,1.66,1.31,6087.0,4.106,127.5787231,22.2359194
K2-80 c,c,5.605,,1.47,,2.68,0.87,0.9,5441.0,4.519,59.037486,13.5590288
K2-295 b,b,4.0248883,2.1878,9.56,,2.5104,0.665,,,,19.6101417,6.8167277
HIP 41378 e,e,131.0,,5.51,,13.007,1.4,1.15,6199.0,4.18,126.6158279,10.0803708
K2-290 b,b,9.21165,,3.06,1230.0,4.96,1.511,1.194,6302.0,4.23,234.8578846,-20.1988975
K2-8 c,c,5.06347,0.0993,2.32,,1.6824,0.712,,,,169.7935178,-0.2844389
EPIC 220573228.01,,57.1050077,0.3388,5.93946,530.0,5.271,0.97,,5816.0,4.49,16.2769235,8.4445808
K2-60 b,b,3.002627,,9.9,,3.124,1.47,1.08,5749.0,4.139,338.6062312,-13.7318044
K2-198 d,d,7.4500372,,,,,0.778475,0.835734,5262.0,4.63,198.8436817,-6.4649888
