toi,tid,tfopwg_disp,toipfx,st_tmag,st_rad,st_teff,st_logg,st_dist,toi_created,ra,dec
1074.01,327301957,PC,1074,10.6339,0.741671,5206.0,4.63095,107.356,2019-08-16 20:20:47,310.761004,-72.010267
1075.01,351601843,CP,1075,11.1186,0.580337,4046.0,4.60963,61.4592,2019-08-16 20:20:48,309.971209,-65.449699
1076.01,360742636,KP,1076,11.2474,1.03997,5659.0,4.44653,248.46,2019-08-16 20:20:48,294.633694,-55.330269
1077.01,369960846,PC,1077,13.461,0.984326,5192.0,4.4617,463.683,2019-08-16 20:20:48,173.810798,-88.096213
1078.01,370133522,CP,1078,10.1165,0.390989,3325.0,4.88693,20.373,2019-08-16 20:20:48,306.928646,-56.462287
1000.01,50365310,FP,1000,9.604,2.16986,10249.0,4.19,485.735,2019-07-24 15:58:33,112.357708,-12.69596
1001.01,88863718,PC,1001,9.42344,2.01,7070.0,4.03,295.862,2019-07-24 15:58:33,122.580465,-5.513852
1002.01,124709665,FP,1002,9.299501,5.73,8924.0,,943.109,2019-07-24 15:58:33,104.726966,-10.580455
1003.01,106997505,FP,1003,9.3003,,5388.5,4.15,7728.17,2019-07-24 15:58:33,110.559945,-25.207017
1004.01,238597883,FP,1004,9.1355,2.15,9219.0,4.14,356.437,2019-07-24 15:58:33,122.178195,-48.802811
1005.01,169904935,FP,1005,9.1309,1.09,5613.0,,100.711,2019-07-24 15:58:33,120.704811,-11.101521
1006.01,156115721,FP,1006,9.2386,1.53429,6616.0,,,2019-07-24 15:58:33,124.359239,-27.273521
1007.01,65212867,PC,1007,8.87759,2.7,6596.0,3.71,283.291,2019-07-24 15:58:33,112.752393,-4.463359
1008.01,440801822,FP,1008,8.9362,1.57,6858.5,4.2,144.297,2019-07-24 15:58:33,109.382839,13.395219
1009.01,107782586,PC,1009,8.4331,,8868.7,,866.147,2019-07-24 15:58:33,111.667845,-24.462111
101.01,231663901,KP,101,12.4069,0.890774,5600.0,4.48851,375.31,2018-09-05 18:49:20,318.737012,-55.871863
1010.01,139853601,FP,1010,8.45086,1.0,9438.0,,485.122,2019-07-24 15:58:33,112.293981,-21.832912
1011.01,114018671,PC,1011,8.2388,0.94,5413.7,4.46,52.62,2019-07-24 15:58:33,113.984761,-32.841999
1012.01,427508467,APC,1012,8.12718,2.72,8928.0,3.92,295.959,2019-07-24 15:58:33,117.095285,6.785064
1013.01,97700520,FP,1013,7.6095,,8868.7,,510.295,2019-07-24 15:58:33,107.286063,-31.933523
1014.01,96246348,FP,1014,7.678,,9307.0,,224.672,2019-07-24 15:58:33,103.561602,-34.22282
1015.01,155044736,FP,1015,10.7069,6.7996101,4897.0,,906.496,2019-04-01 16:51:56,122.895964,-27.971896
1016.01,175310067,FP,1016,10.6257,1.53641,7601.0,4.31,368.646,2019-04-01 16:52:03,116.110771,-36.098285
1017.01,182943944,FP,1017,10.6019,1.61,6995.2,4.07,406.997,2019-07-24 17:08:12,124.726411,-37.78325
1018.01,291555748,FP,1018,10.6254,2.0,5889.0,3.86,360.541,2019-04-01 16:52:01,111.716019,-50.266567
1019.01,341420329,PC,1019,10.6348,1.56203,7645.0,4.3,399.544,2019-07-24 17:08:12,120.147994,-54.878552
102.01,149603524,KP,102,9.7109,1.21,6280.0,4.32092,175.631,2019-05-07 17:42:37,87.139821,-63.988329
1020.01,140706664,FP,1020,10.7173,,8734.2,4.1,906.827,2019-07-24 17:08:12,128.381976,-43.828421
1021.01,143994283,FP,1021,10.5551,1.22,6022.6,4.52,235.974,2019-07-24 17:08:12,119.30075,-42.999149
1022.01,47384844,FA,1022,8.72924,1.41,6084.0,4.13,120.666,2019-06-04 14:32:44,162.96491,-5.788708
1023.01,238374636,FP,1023,9.697,2.99,5050.8,3.56,316.398,2019-07-24 18:44:12,120.837688,-51.345626
1024.01,141482386,FP,1024,10.0814,7.61,4709.0,,692.266,2019-07-24 18:44:12,86.820714,-72.422611
1025.01,297967252,PC,1025,5.5324,,8598.7,,129.838,2019-07-24 18:44:12,142.521159,-51.517114
1026.01,388624270,FP,1026,9.9138,0.853898,5690.0,4.58,105.677,2019-06-11 14:45:00,125.434634,-51.759442
1027.01,20318757,PC,1027,10.2103,0.68,4272.0,4.6,56.3449,2019-07-24 18:44:12,167.133275,-29.653135
1027.02,20318757,PC,1027,10.2103,0.68,4272.0,4.6,56.3449,2021-06-03 22:37:59,167.133275,-29.653135
1027.03,20318757,PC,1027,10.2103,0.68,4272.0,4.6,56.3449,2023-05-18 23:08:27,167.133275,-29.653135
1028.01,447283466,FP,1028,7.9059,0.68,4634.0,4.64,23.7748,2019-07-24 18:44:12,157.098337,-51.705409
1029.01,374908020,FP,1029,6.841,,,,,2019-06-11 14:45:03,88.73909,-65.958839
