,XGBoost,LightGBM,CatBoost,Random Forest,Extra Trees,Ensemble Average
planet_radius_log_normalized,0.0,0,0.7293915619262019,0.01649986346133757,0.03028083027241662,0.15523445113199122
transit_depth_sqrt_normalized,0.0,0,0.41100918788334,0.0029923863517138734,0.015984435451683696,0.08599720193734753
orbital_period_log_normalized,0.0,0,0.38401898609647134,0.00556489933001447,0.017179465089766293,0.08135267010325042
orbital_period_normalized,0.0,0,0.3648016702853322,0.006084348648314567,0.004520534740840153,0.07508131073489739
transit_depth_log_normalized,0.0,0,0.34779292741652307,0.0031593341841265935,0.023011516882132054,0.07479275569655634
orbital_period_squared_normalized,0.0,0,0.34936321317078045,0.0053115503581789925,0.0031465573146089113,0.07156426416871367
transit_depth_normalized,0.0,0,0.25462434752792573,0.0030373476654837637,0.008371349987091277,0.05320660903610015
orbital_period_sqrt_normalized,0.0,0,0.2020053640585633,0.005335683868379155,0.0075874240582500295,0.0429856943970385
transit_depth_squared_normalized,0.0,0,0.19663491369629899,0.002917728239812147,0.003473727665411778,0.04060527392030459
koi_ingress,0.0,0,0.0,0.0,0.0,0.0
st_mass,0.0,0,0.0,0.0,0.0,0.0
pl_eqt,0.0,0,0.0,0.0,0.0,0.0
pl_eqt_normalized,0.0,0,0.0,0.0,0.0,0.0
koi_ingress_normalized,0.0,0,0.0,0.0,0.0,0.0
st_mass_normalized,0.0,0,0.0,0.0,0.0,0.0
