,XGBoost,LightGBM,CatBoost,Random Forest,Extra Trees,Ensemble Average
toipfx,0.02279656,1471,5.1368447585053385,0.05719237005925275,0.05235501371823202,295.2538377404723
stellar_teff,0.0065651373,1134,2.3888369405137833,0.011996649473964387,0.006545520570517684,227.2827888495718
ra,0.006865972,1104,1.3119743596977296,0.01642132370014535,0.03037830584129174,221.07312799228535
dec,0.0071698735,1095,1.8038088522969156,0.021026382028430005,0.02593519210462831,219.37158805997674
st_tmag,0.0077340417,947,2.4999682101296328,0.015600642900447017,0.013474797238863832,189.90735553838599
st_dist,0.009359703,898,1.308590813380259,0.012493055933593376,0.005690087208615879,179.86722673198435
transit_duration,0.0070408084,869,1.7869224284688674,0.0062460447502271955,0.0059354373858581735,174.1612289438096
st_logg,0.006980963,777,1.1454816597578161,0.007734446228376627,0.0041521821848513624,155.63286985024448
tid,0.005778697,752,1.4358694900539892,0.018401000070989743,0.03633273006625044,150.69927638340897
snr_ratio,0.02447676,706,2.1290186920638967,0.02405851004703428,0.019579430991228206,141.6394266784476
period_duration_ratio,0.025287693,649,2.945522315729931,0.0213169128878756,0.005970184917657245,130.39961942138035
stellar_radius,0.006474166,617,1.4324514825190353,0.01073258048256809,0.005063293277649726,123.6909443044913
impact_parameter,0.0069585447,566,1.3665912208069964,0.006099069573719461,0.005552504641919744,113.47704026794852
radius_ratio,0.010322544,564,1.9801357451518333,0.017724009798286366,0.009274193525167472,113.20349129845354
planet_radius,0.017738692,525,0.6222308666124822,0.017541289080528075,0.004584256445593533,105.1324190209202
temp_ratio,0.006768559,501,0.798784087443853,0.011232185252020592,0.010144446290924192,100.3653858556185
koi_max_mult_ev,0.024232056,486,1.6804164288334411,0.0219201970600694,0.007655783912103578,97.5468448931595
impact_duration,0.005626472,482,1.0956415205368946,0.005324397230186185,0.003986840477979803,96.62211584608478
koi_max_sngle_ev,0.0072987555,471,1.264854103107029,0.007637414254950145,0.004638503370107191,94.45688575523832
planet_energy,0.042738505,462,0.8425395984618477,0.022469408865398575,0.001124069662666992,92.58177431633955
habitability_index,0.0068913973,445,0.3574838372025501,0.0039197020770993345,0.0030724420728004053,89.07427347572921
koi_slogg,0.0060635665,444,0.4932315041358069,0.0031775710574107685,0.00313573123261788,88.90112167459378
koi_dor,0.013139329,428,1.0229876582221318,0.013731587644490843,0.005380396034061124,85.81104779416401
koi_num_transits,0.010688101,427,1.3270697817279717,0.004881133171960051,0.02437026315723494,85.67340185579972
koi_smass,0.005713635,425,0.4997978987664947,0.003274604759841507,0.0030033810645973434,85.10235790394304
snr_product,0.009495126,423,0.9324292411695085,0.014461124485542447,0.002747815425753049,84.79182666143286
transit_depth,0.006279067,423,0.28989263677922855,0.004210599373718771,0.008282381355465846,84.66173293692896
snr_diff,0.02747402,400,1.3563904773615676,0.018758934636281983,0.007356476986991243,80.28199598173227
transits_per_day,0.0074819825,320,0.2150817753647414,0.005225773533323129,0.01040634159616311,64.047639174592
