flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
9544.212,13.034724,0.0015562199,165691,948.7487334628697,870.6309873866014,9058.501,12.038952,1301.2448,4.714918,9544.212,13.034724,0,,,,,948.7487334628697,0.0011165818,870.6309873866014,0.0011352606,0.022128658,-0.032844022
9561.448,13.045153,0.0015561987,165692,948.7479016926475,870.6205120729675,9069.413,12.048584,1300.5581,4.720293,9561.448,13.045153,0,,,,,948.7479016926475,0.0011152786,870.6205120729675,0.0011362917,0.022503795,-0.04611331
9529.997,13.033486,0.0015561774,165693,948.7469922141702,870.6278967828107,9044.961,12.037809,1302.7036,4.721667,9529.997,13.033486,0,,,,,948.7469922141702,0.0011179866,870.6278967828107,0.0011378148,0.02058521,-0.03475595
9547.764,13.043098,0.0015560075,165701,948.7507379075571,870.6265719903625,9062.593,12.046687,1296.765,4.7245417,9547.764,13.043098,0,,,,,948.7507379075571,0.0011167154,870.6265719903625,0.0011342242,0.024206378,-0.03605444
9562.412,13.039867,0.0015559862,165702,948.7466392106012,870.6257941250404,9077.487,12.043702,1294.2081,4.71246,9562.412,13.039867,0,,,,,948.7466392106012,0.0011128586,870.6257941250404,0.0011329374,0.021311224,-0.038095824
9550.05,13.050835,0.001555965,165703,948.7444917867257,870.6273472844246,9063.88,12.053832,1295.305,4.7347293,9550.05,13.050835,0,,,,,948.7444917867257,0.0011145931,870.6273472844246,0.001136808,0.0191606,-0.037598684
9559.266,13.04394,0.0015559437,165704,948.743505465434,870.6251950599432,9073.247,12.047463,1294.728,4.712179,9559.266,13.04394,0,,,,,948.743505465434,0.0011168215,870.6251950599432,0.0011349039,0.018880973,-0.038071074
9568.288,13.0494585,0.0015559226,165705,948.7489046145612,870.6287559380092,9083.184,12.052562,1301.2865,4.7163386,9568.288,13.0494585,0,,,,,948.7489046145612,0.0011141738,870.6287559380092,0.0011335877,0.024010621,-0.03577905
9543.228,13.03642,0.0015559013,165706,948.7490703498648,870.6309372280141,9059.813,12.040518,1293.4524,4.70745,9543.228,13.03642,0,,,,,948.7490703498648,0.0011143334,870.6309372280141,0.0011374132,0.02407299,-0.032295328
9543.89,13.041827,0.0015558801,165707,948.7488022974652,870.6279021034929,9055.388,12.045513,1297.6466,4.7170243,9543.89,13.041827,0,,,,,948.7488022974652,0.0011164339,870.6279021034929,0.0011385727,0.021301541,-0.038873333
9567.779,13.053793,0.0015558588,165708,948.7486010883612,870.626920803645,9081.279,12.056564,1300.3782,4.7225504,9567.779,13.053793,0,,,,,948.7486010883612,0.0011147739,870.626920803645,0.0011352667,0.021636993,-0.03659361
9566.736,13.03974,0.0015558376,165709,948.7468465938947,870.6256444439629,9073.826,12.043585,1294.9418,4.7110744,9566.736,13.03974,0,,,,,948.7468465938947,0.0011156992,870.6256444439629,0.0011360858,0.02251967,-0.040156797
9549.953,13.048319,0.0015558163,165710,948.7416717627347,870.6236271453632,9066.631,12.051509,1302.9335,4.733203,9549.953,13.048319,0,,,,,948.7416717627347,0.0011155745,870.6236271453632,0.0011350183,0.019454435,-0.040590905
9550.313,13.036355,0.001555795,165711,948.749720096778,870.6290601606162,9066.884,12.040459,1297.3822,4.7132874,9550.313,13.036355,0,,,,,948.749720096778,0.0011131229,870.6290601606162,0.0011348758,0.027658734,-0.035233524
9551.509,13.036801,0.0015557738,165712,948.7446022234988,870.6267499515355,9062.962,12.040871,1297.8868,4.7116747,9551.509,13.036801,0,,,,,948.7446022234988,0.0011159467,870.6267499515355,0.0011333141,0.018661646,-0.037479986
9567.1,13.051337,0.0015557525,165713,948.7487921394007,870.6291093460187,9082.461,12.054296,1306.0876,4.7187862,9567.1,13.051337,0,,,,,948.7487921394007,0.0011138443,870.6291093460187,0.001133783,0.02178464,-0.034630675
9533.092,13.052128,0.0015557312,165714,948.745458846271,870.6297952446898,9051.258,12.055026,1304.8322,4.721872,9533.092,13.052128,0,,,,,948.745458846271,0.0011157406,870.6297952446898,0.0011392786,0.023686735,-0.035015974
9548.354,13.051158,0.00155571,165715,948.7467962360575,870.6261182547548,9063.456,12.0541315,1296.6342,4.7344522,9548.354,13.051158,0,,,,,948.7467962360575,0.0011177036,870.6261182547548,0.0011367279,0.020489952,-0.038676452
9541.225,13.035254,0.0015556887,165716,948.7478696983237,870.625694375122,9056.682,12.039441,1293.7609,4.719077,9541.225,13.035254,0,,,,,948.7478696983237,0.0011179802,870.625694375122,0.0011345787,0.022421673,-0.03896403
9545.98,13.039598,0.0015556674,165717,948.7457141154487,870.6253603437717,9060.794,12.043454,1301.0304,4.723692,9545.98,13.039598,0,,,,,948.7457141154487,0.0011152972,870.6253603437717,0.0011359268,0.020322204,-0.040544186
9546.213,13.036579,0.0015556462,165718,948.7463732240635,870.6298549337735,9060.35,12.040666,1293.3811,4.722236,9546.213,13.036579,0,,,,,948.7463732240635,0.0011144561,870.6298549337735,0.0011339756,0.022543654,-0.033969756
