kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass,koi_slogg,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_impact,koi_duration,koi_ingress,koi_dor,koi_period_log,koi_prad_category,koi_steff_category,stellar_density
K02322.01,,FALSE POSITIVE,FALSE POSITIVE,332.74984,518.1,2.55,302.0,1.97,6372.0,1.112,1.063,4.375,1,143.0,5.5897505,19.2544115,0.1296,14.77,,174.3,5.8103917303135955,Sub-Neptune,F-dwarf,0.7730701469568093
K02326.01,,FALSE POSITIVE,FALSE POSITIVE,45.60304785,421.1,2.39,878.0,141.6,5767.0,1.0,0.974,4.438,1,143.0,5.5897505,19.2544115,0.537,8.35,,15.46,3.8416659434992564,Sub-Neptune,G-dwarf,0.974
K02330.01,,FALSE POSITIVE,FALSE POSITIVE,2.4681015,172.8,1.22,1244.0,564.74,5516.0,0.872,0.811,4.466,1,543.0,4.9203672,17.424297,0.689,2.83,,5.01,1.2436073260793965,Sub-Earth,G-dwarf,1.22312656704985
K02334.01,,FALSE POSITIVE,FALSE POSITIVE,12.53449909,421.1,2.39,878.0,141.6,5767.0,1.0,0.974,4.438,1,143.0,5.5897505,19.2544115,0.537,6.02,,15.46,2.6052419138849428,Sub-Neptune,G-dwarf,0.974
K02349.01,,FALSE POSITIVE,FALSE POSITIVE,215.15218,264.2,1.36,287.0,1.61,5914.0,0.828,0.913,4.563,1,143.0,5.5897505,19.2544115,0.2999,19.97,,79.8,5.375982696651493,Earth-size,G-dwarf,1.6083470513181726
K02359.01,,FALSE POSITIVE,FALSE POSITIVE,3.17275711,313.2,1.27,966.0,206.07,5058.0,0.739,0.827,4.61,1,365.0,4.3061504,22.418642,0.03,5.404,,4.592,1.4285769947872262,Earth-size,K-dwarf,2.049142658162574
K02158.02,,CANDIDATE,CANDIDATE,6.68231249,48.7,2.09,1350.0,784.74,5343.0,2.506,1.33,3.764,2,194.0,3.4436333,10.110915,0.892,3.251,,7.42,2.038920607305177,Sub-Neptune,G-dwarf,0.08451006602243051
K03969.01,,FALSE POSITIVE,FALSE POSITIVE,0.73619448,247.3,1.84,2268.0,6218.56,6355.0,1.09,1.134,4.418,1,1818.0,3.991783,19.574312,0.689,1.1148,,3.85,0.5516956376132994,Earth-size,F-dwarf,0.8756560663892466
K03970.01,,FALSE POSITIVE,FALSE POSITIVE,10.18670759,261.2,0.95,477.0,12.29,3995.0,0.555,0.556,4.694,1,265.0,4.674,25.229647,0.677,7.498,,7.9,2.4147262511482808,Sub-Earth,K-dwarf,3.252339264026627
K03971.01,,FALSE POSITIVE,FALSE POSITIVE,365.994154,698.5,2.87,263.0,1.14,6074.0,0.965,0.992,4.466,1,143.0,5.5897505,19.2544115,0.8353,13.071,,127.9,5.905345918772387,Sub-Neptune,F-dwarf,1.1038999968980634
