orbital_period,transit_depth,planet_radius,koi_teq,koi_insol,stellar_teff,stellar_density,disposition
10.405998015,14488.8,11.23,833.0,113.94,5746.0,0.9760561708613656,FALSE POSITIVE
2.337437946,971.2,2.34,1070.0,311.16,5005.0,1.8986049999762675,CONFIRMED
7.2406612,556.4,19.45,734.0,68.63,5005.0,1.8986049999762675,CANDIDATE
3.43591631,30.2,0.59,1272.0,617.61,5779.0,0.732657485584927,CANDIDATE
11.59822233,2804.5,2.65,396.0,5.82,3688.0,4.858547107594881,CONFIRMED
6.575315881,2793.3,5.31,1015.0,251.38,5992.0,0.9582765471349268,CONFIRMED
7.275040844,3001.0,4.86,833.0,113.64,5485.0,1.5129327447398917,CONFIRMED
19.27153892,1219.8,1.93,393.0,5.66,4077.0,3.279883381924197,CONFIRMED
10.06524317,1053.3,1.91,488.0,13.43,4077.0,3.279883381924197,CONFIRMED
12.3935651,916.6,2.66,677.0,49.68,5557.0,1.972148148148148,CONFIRMED
43.84439721,615.2,2.87,531.0,18.77,5854.0,0.9175695216279184,CONFIRMED
3.341913228,725.3,21.55,1032.0,268.67,5295.0,1.5991399334260237,FALSE POSITIVE
1.626630225,1620.6,32.43,1547.0,1355.88,5735.0,0.9650798325056076,FALSE POSITIVE
2.711504086,837.5,3.12,1420.0,960.79,6214.0,0.9383777403969326,CONFIRMED
7.21203748,950.4,3.32,1025.0,260.58,6214.0,0.9383777403969326,CONFIRMED
14.1798187,459.9,1.88,711.0,60.35,5799.0,1.4405258896395357,FALSE POSITIVE
8.47237911,1123.5,2.59,751.0,75.44,5354.0,1.8066482825625376,CONFIRMED
60.4189369,931.3,2.36,390.0,5.49,5354.0,1.8066482825625376,CONFIRMED
12.611904345,6105.6,7.4,753.0,76.15,5795.0,1.27810089214805,CONFIRMED
1.433769925,1976.3,46.58,1920.0,3209.29,6017.0,0.451114436540497,FALSE POSITIVE
10.31872301,871.7,28.59,876.0,139.26,5927.0,0.8816002471839169,FALSE POSITIVE
