pl_name,pl_letter,pl_orbper,pl_trandep,pl_rade,pl_eqt,pl_trandur,st_rad,st_mass,st_teff,st_logg,ra,dec,stellar_density
HATS-11 b,b,3.6191613,1.18,16.92559,1637.0,4.3656,1.444,1.0,6060.0,4.118,289.4007603,-22.3900092,0.33212259326167154
HATS-12 b,b,3.142833,0.47,15.13215,1827.949999999999,4.5576,2.21,1.489,6408.0,3.923,289.202402,-19.3559227,0.1379487840356662
K2-39 b,b,4.60543,0.037,6.27704,809.0,2.7888,2.97,0.66,4881.0,3.5776933,338.3682095,-9.0229405,0.02519269260758224
HATS-36 b,b,4.175186,0.1357,12.92,1203.0,2.7888,1.1,1.1,5950.0,4.4,291.4787013,-23.2028183,0.8264462809917353
HATS-9 b,b,1.915291,0.1357,13.85,1746.0,2.7888,1.56,1.1,5599.0,4.1,290.8101704,-20.1663771,0.2897469613445945
HATS-11 b,b,3.619188,0.1357,18.03,1596.0,2.7888,1.54,1.33,6563.0,4.19,289.4007603,-22.3900092,0.3641576841104586
HATS-12 b,b,3.142702,0.1357,7.76,1446.0,2.7888,1.17,1.16,6357.0,4.36,289.202402,-19.3559227,0.7242698454620436
HATS-9 b,b,1.9153073,0.1357,11.937585,809.0,2.7888,1.503,1.03,5366.0,4.4905,290.8101704,-20.1663771,0.3033613741767437
EPIC 214888033.01,,7.457597,0.573,8.7,809.0,1.872,1.037,0.88,5293.0,4.4905,280.8765309,-25.4110574,0.7891260913940032
EPIC 216231580.01,,3.90518,1.573,16.3,809.0,3.444,1.282,0.88,5293.0,4.4905,295.157014,-22.7217407,0.41765587670048254
HATS-9 b,b,1.9153196,0.847,14.42,809.0,3.5496,1.592,0.88,5293.0,4.4905,290.8101704,-20.1663771,0.21809890339554133
HATS-11 b,b,3.619167,1.3734,17.7,809.0,4.3896,1.51,0.88,5293.0,4.4905,289.4007603,-22.3900092,0.2555946918791467
HATS-36 b,b,4.175235,1.3791,12.77,809.0,3.432,1.0878,0.88,5293.0,4.4905,291.4787013,-23.2028183,0.6836526612474777
HATS-12 b,b,3.142811,0.4291,5.69,809.0,4.572,0.822,0.88,5293.0,4.4905,289.202402,-19.3559227,1.5844087039290502
EPIC 219388192.01,,5.292627,1.0517,10.98,809.0,3.2952,1.058,0.88,5293.0,4.4905,289.3917955,-16.8717267,0.7430630554729872
EPIC 206061524.01,,5.879829,0.9542,6.97,809.0,2.5296,0.701,0.88,5293.0,4.4905,335.057616,-13.1147717,2.554633589905733
K2-329 b,b,12.4551225,0.1357,8.675766,650.0,3.621,0.822,0.901,5282.0,4.566,351.1353785,-5.1641451,1.6222184570909934
K2-399 b,b,0.759978,0.1357,6.049,809.0,1.1,1.541,0.783,5690.0,3.956,158.0734448,2.2378452,0.21397047259563462
K2-399 b,b,0.759978,0.1357,6.049,809.0,2.7888,1.541,0.783,5690.0,3.956,158.0734448,2.2378452,0.21397047259563462
K2-268 c,c,9.327527,0.1357,2.69,696.0,3.35,0.78,0.84,5106.0,4.58,133.7094899,11.8482712,1.770090527486977
K2-18 b,b,32.9418,0.1357,2.28,809.0,2.682,0.4,0.42,3496.0,4.858,172.560141,7.5878315,6.562499999999998
K2-74 b,b,19.565557,0.1357,2.95906745,809.0,2.7888,1.086156,0.987182,5929.0,4.24,339.9192984,-8.7145697,0.7704076934841977
K2-198 c,c,3.3596055,0.1357,1.423,1229.9,2.7888,0.757,0.799,5212.9,4.4905,198.8436817,-6.4649888,1.8418707064256274
WASP-47 d,d,9.0305419,0.107,3.06,809.0,4.37,0.86,0.88,5427.0,4.4905,331.203092,-12.019067,1.3835259788446301
K2-110 b,b,13.85870316,0.126,2.6,809.0,3.747,0.71181,0.811,4936.0,4.64236,207.3497402,-12.2849182,2.2486848775802297
K2-3 b,b,10.054374,0.145,2.4,809.0,2.61,0.58,0.88,3927.0,4.4905,172.3353708,-1.4551364,4.510230021731109
K2-273 b,b,11.7195663,0.1357,3.05,849.0,2.7888,0.85,0.89,5161.0,4.53,129.7768928,19.0100046,1.449216364746591
K2-72 d,d,7.7599,0.1357,0.77002,809.0,1.45,0.232,0.217,3497.0,4.990989999999999,334.6227504,-9.6120084,17.377839394809133
EPIC 220674823 b,b,0.571308,0.1357,1.46,809.0,2.7888,0.83,0.93,5590.0,4.56,13.0800239,10.7947051,1.6264797905513768
K2-351 b,b,7.80651068,0.053,2.6,809.0,3.2,1.03974,1.03,5739.0,4.41706,206.6522408,-11.8049588,0.9163533426360854
K2-31 b,b,1.2578332,0.716,2.6,809.0,0.931,1.02904,0.922,5340.0,4.37794,245.4405531,-23.548273,0.8461242675630863
K2-32 b,b,8.99218,0.1357,5.38,769.0,3.693,0.87,0.87,5315.0,4.43,252.426008,-19.5430504,1.321178491214163
K2-5 b,b,5.73597,0.1357,1.5,809.0,2.35,0.462,0.52,4021.0,4.823,169.3034598,-1.8778254,5.27323853348478
K2-53 b,b,12.207632,0.1,2.47,809.0,3.64,0.72,0.88,4684.0,4.4905,244.1419684,-20.4005984,2.3576817558299044
K2-33 b,b,5.4252061,0.263,0.868,809.0,4.27,0.18003999999999998,0.88,3092.03,4.4905,242.5613635,-19.3193831,150.79108264361042
K2-260 b,b,2.62669768,0.1357,2.6,809.0,2.7888,1.69,1.39,6367.0,4.15,76.8673317,16.8676948,0.2879749333358747
K2-266 c,c,7.814,0.015000999999999999,0.77002,664.5,2.256,0.703,0.686,4285.0,4.581,157.9356855,0.9372782,1.9745045581653602
K2-115 b,b,20.273017,0.1357,2.6,809.0,2.7888,0.88,0.95,5657.0,4.53,126.5535002,12.281851,1.3940411344853494
K2-72 c,c,15.189034,0.1357,1.16,809.0,2.7888,0.330989,0.271365,3360.47,4.4905,334.6227504,-9.6120084,7.48364452670785
K2-413 b,b,0.8094,0.1357,0.77002,809.0,2.7888,0.7,0.808,4116.0,4.656,353.4175668,-7.6120272,2.355685131195336
K2-286 b,b,27.359,0.112,2.1,347.0,3.0,0.62,0.64,3926.0,4.7,233.3698192,-16.7737113,2.6853747776174015
K2-16 c,c,19.07536,0.1357,2.14,523.0,2.7888,0.64,0.67,4761.0,4.4905,175.0972238,4.5574311,2.5558471679687496
K2-209 b,b,2.080615,0.1357,0.86850263,809.0,2.7888,0.712365,0.74479,4720.0,4.46,14.6903464,1.382807,2.060279381916597
HD 224018 b,b,10.6413,0.1357,0.91,968.0,2.7888,1.147,1.013,5784.0,4.32,353.4175668,-4.7233362,0.6713039330657679
K2-147 b,b,0.961918,0.1357,0.77002,809.0,2.7888,0.31,0.88,3775.0,4.990989999999999,293.8330329,-28.188578156000002,29.539122553791415
EPIC 249893012 b,b,3.5951,0.1357,1.95,1616.0,4.33,1.71,1.05,5430.0,3.99,228.2482353,-16.7246474,0.20999113837396066
K2-351 b,b,7.80692,0.0681,3.03,809.0,2.808,1.103,0.88,5293.0,4.4905,206.6522408,-11.8049588,0.6557769308357445
K2-133 d,d,11.0234,0.19,2.02,809.0,2.32,0.47,0.51,3655.0,4.4905,70.1493775,25.0098135,4.912206351193859
K2-372 b,b,9.844,0.0809,2.6,809.0,3.42504,0.957455,0.96,5500.23,4.4581,130.7988719,13.0094226,1.0937450956933117
K2-16 b,b,7.61856,0.1357,1.96,809.0,2.24,0.67,0.69,4800.0,4.629,175.0972238,4.5574311,2.294165173242719
K2-68 b,b,8.05428,0.1357,1.58,809.0,2.72,0.675,0.73,4746.0,4.632,334.0195539,-10.5673649,2.3736219072295883
K2-22 b,b,0.381078,0.1357,2.5,1827.949999999999,0.8,0.57,0.6,3830.0,4.65,169.4827046,2.6190363,3.239863277769679
K2-22 b,b,0.381078,0.1357,4.75,809.0,2.7888,0.581569,0.595292,3879.18,4.4905,169.4827046,2.6190363,3.0263998015041813
K2-22 b,b,1.143201,0.1357,3.0,809.0,0.651,0.382,0.421,3865.0,4.886,169.4827046,2.6190363,7.5525221405505345
K2-22 b,b,0.38107852,0.558,4.61,809.0,0.73,0.57,0.88,3892.0,4.4905,169.4827046,2.6190363,4.751799474062196
K2-22 b,b,0.381087,0.1357,4.31,809.0,2.7888,0.54,0.88,3830.0,4.65,169.4827046,2.6190363,5.588578976781994
K2-22 b,b,0.3810654,0.624,5.4,809.0,0.6020314999999999,0.64,0.88,5293.0,4.4905,169.4827046,2.6190363,3.3569335937499996
K2-22 b,b,0.381073,0.1357,2.3,809.0,2.7888,0.58,0.88,3879.0,4.7,169.4827046,2.6190363,4.510230021731109
K2-44 b,b,5.656256,0.0342,2.08,809.0,4.28,1.03,0.88,5840.0,4.4905,174.011661,-2.5209338,0.8053246602307804
K2-132 b,b,9.1720535,0.058,9.02881,1152.0,7.169,3.79,0.88,4933.0,4.438,182.1662666,-8.7472172,0.016164602976502233
K2-132 b,b,9.1751,0.1357,14.5717,809.0,2.7888,3.85,1.08,4840.0,3.5776933,182.1662666,-8.7472172,0.018925247462943533
K2-3 c,c,24.6454,0.1357,1.72,809.0,3.428,0.561,0.601,3896.0,4.4905,172.3353708,-1.4551364,3.4039712881308706
EPIC 214888033.01,,7.46475831483,1.05838259,11.93024915,941.04,1.0430706,1.15577,0.88,5357.0,4.27941,280.8765309,-25.4110574,0.5699915532855412
HATS-11 b,b,3.61887686846,1.26582719,16.6459863,1443.92,4.3583808,1.46198,0.88,5871.0,4.13349,289.4007603,-22.3900092,0.2816166822410085
K2-24 c,c,42.3633,0.1357,7.82,809.0,2.7888,1.21,1.12,5743.0,4.29,242.5734559,-24.9906029,0.6322108016602308
K2-24 b,b,20.8851,0.1357,5.68,809.0,2.7888,1.21,1.12,5743.0,4.29,242.5734559,-24.9906029,0.6322108016602308
K2-31 b,b,1.25785,0.1357,2.6,809.0,2.7888,0.986,1.0,5412.0,4.44,245.4405531,-23.548273,1.0432040277489936
K2-32 b,b,8.99218,0.1357,5.38,809.0,2.7888,0.87,0.87,5315.0,4.43,252.426008,-19.5430504,1.321178491214163
K2-32 d,d,31.71922,0.1357,3.75,809.0,2.7888,0.87,0.87,5315.0,4.43,252.426008,-19.5430504,1.321178491214163
K2-3 b,b,10.05403,0.1357,2.14,809.0,2.7888,0.561,0.601,3896.0,4.72,172.3353708,-1.4551364,3.4039712881308706
K2-3 c,c,24.6454,0.1357,1.72,809.0,2.7888,0.561,0.601,3896.0,4.72,172.3353708,-1.4551364,3.4039712881308706
K2-85 b,b,0.684575,0.1357,1.4,809.0,2.7888,0.71,0.88,4462.0,4.17,59.464829,18.4649505,2.4587118026548507
K2-24 c,c,42.36342,0.1357,8.1,560.0,7.058,1.21,1.12,5743.0,4.29,242.5734559,-24.9906029,0.6322108016602308
K2-37 d,d,14.09189,0.1357,2.73,663.0,2.967,0.85,0.9,5413.0,4.52,243.4509662,-24.7870527,1.4654996946875638
K2-37 b,b,4.44117,0.1357,1.61,974.0,2.706,0.85,0.9,5413.0,4.52,243.4509662,-24.7870527,1.4654996946875638
K2-32 c,c,20.65614,0.1357,3.48,583.0,5.024,0.87,0.87,5315.0,4.43,252.426008,-19.5430504,1.321178491214163
K2-3 d,d,44.55983,0.1357,1.51,331.03999999999996,4.325,0.56,0.6,3896.0,4.72,172.3353708,-1.4551364,3.416545189504372
HIP 41378 d,d,59.84855433221,0.1357,3.96,809.0,10.79903999999998,1.4,1.15,6199.0,4.18,126.6158279,10.0803708,0.4190962099125365
HIP 41378 f,f,59.84855433221,0.1357,10.2,809.0,10.79903999999998,1.4,1.15,6199.0,4.18,126.6158279,10.0803708,0.4190962099125365
K2-105 b,b,8.267,0.1053,2.6,809.0,3.216,0.915405,0.941,5411.15,4.48843,125.4202985,13.4975122,1.2267322498762223
K2-108 b,b,4.734,0.0778,2.6,809.0,3.40704,1.75896,0.964,5496.0,3.93163,123.3818484,16.419516,0.17713694229211316
K2-27 b,b,6.771315,0.1357,5.36,809.0,2.802,1.03,1.01,5797.0,4.42,171.5151874,1.2306237,0.9242930759466912
K2-36 c,c,5.34072,0.1357,2.65,809.0,1.153,0.75,0.81,4953.0,4.598,169.4490102,3.8665038,1.9200000000000002
K2-24 b,b,20.88526,0.1357,7.07,809.0,5.498,1.51,1.2,5717.0,4.157,242.5734559,-24.9906029,0.3485382161988364
K2-61 b,b,2.57302,0.1357,2.48,809.0,2.33,1.36,1.21,6293.0,4.25,339.6748444,-13.5600447,0.48102610421331154
K2-37 c,c,6.42973,0.1357,2.65,809.0,2.908,0.87,0.9,5512.0,4.512,243.4509662,-24.7870527,1.366736370221548
K2-37 d,d,14.0919,0.1357,2.59,809.0,2.65,0.87,0.9,5512.0,4.512,243.4509662,-24.7870527,1.366736370221548
K2-31 b,b,1.2578542,0.1357,34.0,809.0,0.809,0.9,0.97,5465.0,4.523,245.4405531,-23.548273,1.3305898491083674
K2-32 b,b,8.99213,0.1357,5.62,809.0,3.486,0.92,0.88,5428.0,4.449,252.426008,-19.5430504,1.1301060244924797
K2-66 b,b,5.06965,0.1357,2.49,809.0,4.4,1.71,1.16,5958.0,4.035,331.5266563,-10.7115362,0.23199021001313747
K2-79 b,b,10.99573,0.1357,3.69,809.0,4.42,1.28,1.06,5926.0,4.249,55.2559307,13.5191871,0.5054473876953124
WASP-47 b,b,4.159221,0.1357,12.3,809.0,3.5524,1.1,1.003,5950.0,4.32,331.203092,-12.019067,0.7535687453042822
K2-399 b,b,0.76001901813,0.18655887,7.29025894,1827.949999999999,0.638738,1.65999,0.88,5690.2,4.0,158.0734448,2.2378452,0.19238280684198608
HATS-11 b,b,3.6191546,0.1357,2.6,809.0,2.7888,1.444,1.0,6060.0,4.118,289.4007603,-22.3900092,0.33212259326167154
K2-39 b,b,4.60547,0.1357,6.4,1550.0,2.7888,3.08,1.38,4915.0,3.58,338.3682095,-9.0229405,0.04723097782635647
HATS-12 b,b,3.14324025965,0.49689754,2.6,1244.27,4.3767436,0.8640925,0.88,5780.0,4.438,289.202402,-19.3559227,1.3639610395866055
EPIC 206061524.01,,5.87672094142,1.01673987,8.02139241,694.8,2.4735452,0.807445,0.88,4111.0,4.43205,335.057616,-13.1147717,1.671644113903588
K2-329 b,b,12.45636917022,1.03526424,8.7723254,670.39,3.6674288,0.843307,0.88,5278.0,4.54274,351.1353785,-5.1641451,1.4673224299014025
EPIC 216231580.01,,3.90723655504,1.7049263,15.34164425,1199.33,3.2205284,1.17027,0.88,5500.0,4.28377,295.157014,-22.7217407,0.5490658794016353
K2-39 b,b,4.60808540736,0.04355578,7.04461252,1124.99,8.9037215,3.12057,0.88,4911.0,4.438,338.3682095,-9.0229405,0.028958821572828777
HATS-36 b,b,4.17471430219,1.40266941,13.70940899,1185.55,3.8092867,1.08854,0.88,5859.0,4.38969,291.4787013,-23.2028183,0.6822593478289526
HATS-9 b,b,1.91552575756,0.73831867,13.74175585,1764.73,3.5663951,1.58042,0.88,5494.0,4.02415,290.8101704,-20.1663771,0.2229282573936666
EPIC 218621322.01,,11.5843558517,0.2500558,5.49928933,651.38,3.4607621,1.09295,0.88,5631.0,4.36,285.4688322,-18.4681649,0.6740339765751457
EPIC 219388192.01,,5.29136017752,1.12532759,11.52204139,1027.17,3.5122145,1.03676,0.88,5555.0,4.39749,289.3917955,-16.8717267,0.7896742436395011
K2-214 b,b,8.596724,0.1357,2.5,809.0,3.7296,1.29,0.88,5293.0,4.4905,14.8759777,4.2277722,0.4099336233613718
K2-220 b,b,13.683038,0.1357,2.3,809.0,3.12,0.99,0.88,5293.0,4.4905,12.7700071,9.5167694,0.9069369338729608
K2-117 c,c,5.443984,0.1357,2.1,809.0,2.1792,0.52,0.88,5293.0,4.4905,133.8557342,10.4692176,6.25853436504324
K2-111 b,b,5.35161,0.1357,2.09,809.0,4.1592,1.17,0.88,5788.0,4.224,59.8903081,21.2985263,0.5494460896608607
K2-31 b,b,1.25785,0.1357,11.88154,809.0,0.9816,0.78,0.91,5280.0,4.6,245.4405531,-23.548273,1.9175980714442253
WASP-47 b,b,4.16071,0.1357,12.9,809.0,2.7888,1.16,1.11,5576.0,4.354,331.203092,-12.019067,0.7111300176308994
WASP-47 d,d,9.095,0.1357,3.71,809.0,2.7888,1.16,1.11,5576.0,4.354,331.203092,-12.019067,0.7111300176308994
WASP-47 e,e,0.789636,0.1357,1.82,809.0,2.7888,1.16,1.11,5576.0,4.354,331.203092,-12.019067,0.7111300176308994
K2-127 b,b,3.588158,0.1357,9.1,809.0,2.1888,0.75,0.88,5293.0,4.4905,207.0782895,-11.5889878,2.0859259259259257
K2-121 b,b,5.185972,1.263,2.6,809.0,2.148,0.649127,0.74,4664.8,4.68264,126.9366624,17.5793267,2.7054698510786723
K2-117 b,b,1.291651,0.1357,2.1,809.0,1.1904,0.52,0.88,5293.0,4.4905,133.8557342,10.4692176,6.25853436504324
K2-100 b,b,1.67344228,0.086,2.6,809.0,2.125,1.21742,1.153,6115.49,4.32901,129.6010863,20.1060074,0.6390105242256379
K2-117 c,c,5.44425,0.1357,1.94,809.0,2.7888,0.513,0.532,3676.0,4.747,133.8557342,10.4692176,3.940574448499014
K2-98 b,b,10.13892836,0.095,2.6,809.0,5.371,1.50696,1.23,6283.0,4.17177,126.4882114,11.5110933,0.3594180942836943
K2-85 b,b,0.68458757,0.027,2.6,809.0,0.912,0.734112,0.66,4222.0,4.52609,59.464829,18.4649505,1.668233990871494
K2-27 b,b,6.77093147,0.267,2.6,809.0,3.032,0.89254,0.89,5231.0,4.4862,171.5151874,1.2306237,1.2517192783419475
K2-55 b,b,2.84947127,0.372,2.6,809.0,2.093,0.737576,0.669,4279.0,4.52788,333.7518786,-17.2508002,1.667269430754984
K2-61 b,b,2.573413,0.1357,1.93284331,809.0,2.7888,1.015751,1.030202,5761.0,4.38,339.6748444,-13.5600447,0.9830160596132833
K2-62 c,c,16.197201,0.1357,1.89069587,809.0,2.7888,0.647947,0.684147,4636.0,4.7,334.3645089,-12.1874776,2.5149593895515316
EPIC 220674823 c,c,13.341245,0.1357,2.53,809.0,2.7888,0.83,0.93,5590.0,4.56,13.0800239,10.7947051,1.6264797905513768
K2-27 b,b,6.771315,0.1357,4.48,902.0,2.7888,0.885,0.866,5248.0,4.48,171.5151874,1.2306237,1.2493613884213701
K2-32 d,d,31.7154,0.1357,3.43,537.0,2.7888,0.845,0.856,5275.0,4.49,252.426008,-19.5430504,1.418742693154007
